unique_id,temperature,rep,term,estimate,std.error,statistic,p.value,inverse_temp
5_1,5,1,K,21597311.299511038,700062.9386484469,30.850528012820053,2.021929781290845e-21,41.72197348856467
5_2,5,2,K,22528803.743273724,922352.5026254776,24.425372814781177,8.181500872858889e-16,41.72197348856467
5_3,5,3,K,23077274.122084282,1419914.884557252,16.252575681168437,1.332034070634291e-12,41.72197348856467
5_4,5,4,K,26439011.80365917,925941.5637019307,28.55365051111383,4.5385464145057486e-17,41.72197348856467
5_5,5,5,K,20692962.917349786,1160316.8470484405,17.833889915489525,2.5311358192512233e-13,41.72197348856467
8_1,8,1,K,21092538.107426506,809659.2469839875,26.05112976353576,1.7933984751853584e-17,41.2767808139579
8_2,8,2,K,22538498.7804458,1227551.3183334821,18.360534866309262,1.49870968813954e-13,41.2767808139579
8_3,8,3,K,20277630.13654781,1123508.1891521497,18.04849339981245,2.0410508414599301e-13,41.2767808139579
8_4,8,4,K,20906458.225043092,1036604.6787716999,20.168207469230897,2.7348261164046272e-14,41.2767808139579
8_5,8,5,K,20488785.179387484,835313.5354961812,24.528257125891084,6.113686744205628e-17,41.2767808139579
16_1,16,1,K,16415568.369328102,680966.9121453194,24.106264308220887,7.963797607911485e-18,40.134763706879696
16_2,16,2,K,14542452.83426592,873163.5204504444,16.654901967003628,1.4067688605731298e-13,40.134763706879696
16_3,16,3,K,16304541.337453842,906445.8173242332,17.987331427689462,4.8160380286226485e-15,40.134763706879696
16_4,16,4,K,17578241.230852157,817642.2712112548,21.49869429428075,9.951447639942891e-17,40.134763706879696
16_5,16,5,K,16415826.945344351,652561.5345526866,25.15598311597842,2.8463693450923806e-19,40.134763706879696
25_1,25,1,K,9240384.74763233,687028.1319071368,13.44979094521463,1.748639768256066e-13,38.92324979320565
25_2,25,2,K,10198176.323435033,1168726.6579167477,8.725886634273625,9.36519262729494e-9,38.92324979320565
25_3,25,3,K,9359142.08786573,858435.8185890084,10.902553091562677,1.4613180602376243e-10,38.92324979320565
25_4,25,4,K,11066468.022432305,773099.5602679478,14.314415104047903,1.1156950089839336e-14,38.92324979320565
25_5,25,5,K,9961213.413969537,647145.4557700512,15.392541700098151,1.3298982081678833e-13,38.92324979320565
32_1,32,1,K,5505786.969926941,420046.20363082626,13.107574648540124,1.4057223288461503e-11,38.03036842813129
32_2,32,2,K,5189186.501635583,903730.9213303699,5.7419596686994545,1.5592355839236968e-5,38.03036842813129
32_3,32,3,K,6068825.278375746,560184.4720813867,10.833619246579246,4.683121209544124e-10,38.03036842813129
32_4,32,4,K,6033553.678480878,663165.1648902091,9.098116122368653,9.871423077685973e-9,38.03036842813129
32_5,32,5,K,5315377.227163917,708107.921436519,7.506450734770426,7.353144552503001e-8,38.03036842813129
