ID,r,K
16_1,0.3188101054899319,286851.6460157312
16_2,0.43468900733294685,256646.60348166854
16_3,0.36647227625992,359981.4296695065
16_4,0.2760628514971853,281561.8418051425
16_5,0.2795353854268402,215876.44351799847
16_NA,0.005,1e4
25_1,0.48985905588742984,230448.06996577376
25_2,0.4603433522187448,338478.72671892477
25_3,0.5035831034003928,272329.8027788198
25_4,0.5048379550832254,306320.48981993436
25_5,0.4558747611288666,306270.6593713496
32_1,0.37723254985580057,288626.63581662584
32_2,0.3713996762823518,354158.4480626029
32_3,0.3879546247531565,243993.77060345368
32_4,0.3590071808330177,245603.0596720917
32_5,0.4657385136466612,317029.53648508614
38_1,0.041076832196931715,77798.0549106796
38_2,0.03823570714532817,15412.590834424203
38_3,0.047350659058675935,1e7
38_4,0.021311896074038616,1e7
38_5,0.11047592424321002,6424.614607163157
5_1,0.029650364744559215,885.9562344073914
5_2,2.0,2415.2535653405653
5_3,0.017151146670089056,653.6254875320913
5_4,0.007410112923711141,1e7
5_5,0.0728923101997711,1693.4014986484224
8_1,0.12283567989623803,72337.18470562717
8_2,0.12895267044589498,173278.9933405405
8_3,0.1284221128766233,79536.93917856885
8_4,0.09120054509469086,63772.65247356279
8_5,0.12325238845953787,48851.90042869485
