temperature,species,rep,absorbance1,time mixed reagent in,time measured,absorbance2,absorbance3,absorbance4,X8,absorbance,phosphate_concentration
5.0,so,1,0.01,3900,4140,0.012,0.011,0.022,NA,0.011,0.4198003900424456
8.0,so,1,0.009,3900,4140,0.01,0.009,0.022,NA,0.0095,0.3729264655271307
16.0,so,1,0.003,3900,4140,0.004,0.004,0.016,NA,0.0035,0.18543076746587103
25.0,so,1,0.01,3900,4140,0.011,0.01,0.022,NA,0.010499999999999999,0.4041757485373406
32.0,so,1,0.055,3900,4140,0.054,0.052,0.055,NA,0.0545,1.779144200986578
38.0,so,1,0.066,3900,4140,0.065,0.064,0.074,NA,0.0655,2.122886314098888
5.0,so,2,0.015,10380,12360,0.016,NA,NA,12720,0.0155,0.5604221635883904
8.0,so,2,0.012,10380,12360,0.013,NA,NA,12720,0.0125,0.4666743145577606
16.0,so,2,0.02,10380,12360,0.02,NA,NA,12720,0.02,0.7010439371343352
25.0,so,2,0.006,10380,12360,0.006,NA,NA,12720,0.006,0.2635539749913959
32.0,so,2,0.011,10380,12360,0.013,NA,NA,12720,0.012,0.4510496730526556
38.0,so,2,0.029,10380,12360,0.029,NA,NA,12720,0.029,0.9822874842262247
5.0,so,3,0.011,10500,12780,0.01,NA,NA,NA,0.010499999999999999,0.4041757485373406
8.0,so,3,0.011,10500,12780,0.01,NA,NA,NA,0.010499999999999999,0.4041757485373406
16.0,so,3,0.013,10500,12780,0.013,NA,NA,NA,0.013,0.4822989560628655
25.0,so,3,0.011,10500,12780,0.011,NA,NA,NA,0.011,0.4198003900424456
32.0,so,3,0.022,10500,12780,0.02,NA,NA,NA,0.020999999999999998,0.732293220144545
38.0,so,3,0.041,10500,12780,0.042,NA,NA,NA,0.0415,1.372903521853849
5.0,so,4,0.009,10680,13200,0.009,NA,NA,NA,0.009,0.3573018240220257
8.0,so,4,0.017,10680,13200,0.017,NA,NA,NA,0.017,0.6072960881037054
16.0,so,4,0.017,10680,13200,0.012,NA,NA,NA,0.0145,0.5291728805781805
25.0,so,4,0.012,10680,13200,0.011,NA,NA,NA,0.0115,0.43542503154755063
32.0,so,4,0.012,10680,13200,0.013,NA,NA,NA,0.0125,0.4666743145577606
38.0,so,4,0.037,10680,13200,0.037,NA,NA,NA,0.037,1.232281748307904
5.0,so,5,0.01,10920,13740,0.009,NA,NA,14220,0.0095,0.3729264655271307
8.0,so,5,0.017,10920,13740,0.019,NA,NA,NA,0.018000000000000002,0.6385453711139153
16.0,so,5,0.013,10920,13740,0.013,NA,NA,NA,0.013,0.4822989560628655
25.0,so,5,0.043,10920,13740,0.043,NA,NA,NA,0.043,1.4197774463691637
32.0,so,5,0.019,10920,13740,0.02,NA,NA,NA,0.0195,0.6854192956292302
38.0,so,5,0.034,10920,13740,0.034,NA,NA,NA,0.034,1.1385338992772744
32.0,so,1,0.071,10920,13740,0.07,NA,NA,NA,0.07050000000000001,2.279132729149938
NA,COMBO,o,0.021,15120,16920,0.023,0.022,NA,NA,0.022,0.763542503154755
