unique_id,temperature,rep,cell_density,cell_volume,time_since_innoc_hours,days
32_2,32,2,15716,355.99,513.1361111,21.380671295833334
38_1,38,1,2200,441.79,13.2325,0.5513541666666667
38_1,38,1,4974,470.28,950.6516667,39.6104861125
38_2,38,2,7112,471.29,950.6875,39.611979166666664
25_4,25,4,13919,478.05,949.4941667,39.56225694583333
25_2,25,2,14244,479,949.3788889,39.55745370416667
25_5,25,5,10996,481.82,949.4697222,39.561238425
38_4,38,4,4293,486.35,680.4269444,28.351122683333333
38_4,38,4,6148,487.14,950.7447222,39.614363425
38_2,38,2,3408,487.31,680.3727778,28.348865741666668
25_2,25,2,6774,487.94,419.9311111,17.49712962916667
38_1,38,1,5788,495.3,1013.636389,42.23484954166667
25_3,25,3,14560,496.41,1013.407778,42.225324083333334
38_3,38,3,7600,498.25,680.3983333,28.349930554166665
38_5,38,5,4232,498.53,950.7802778,39.61584490833334
25_1,25,1,14508,499.48,949.3541667,39.5564236125
38_4,38,4,3790,500.65,420.9736111,17.540567129166668
38_1,38,1,4028,511.04,628.9402778,26.205844908333333
38_4,38,4,6274,511.05,1013.711389,42.23797454166667
38_5,38,5,2801,515.22,421.0136111,17.542233795833333
38_1,38,1,7081,516.9,849.0797222,35.378321758333335
38_2,38,2,4520,517.17,420.8916667,17.537152779166664
25_5,25,5,12547,523.16,420.0641667,17.5026736125
25_1,25,1,15774,528.14,1013.432222,42.226342583333334
38_5,38,5,3186,531.44,680.4516667,28.35215277916667
38_2,38,2,4841,533.03,628.9086111,26.2045254625
38_1,38,1,3232,535.92,420.8538889,17.535578704166667
38_4,38,4,4838,538.26,513.3316667,21.388819445833334
38_3,38,3,3766,542.47,420.9330556,17.538877316666667
38_3,38,3,7732,545.66,1013.6866670000001,42.23694445833333
32_1,32,1,6099,545.96,949.5491667,39.5645486125
25_1,25,1,11700,549.11,419.885,17.495208333333334
25_3,25,3,11088,552.29,419.9725,17.498854166666668
25_4,25,4,13005,564.48,420.0252778,17.501053241666668
38_3,38,3,7755,567.69,950.72,39.61333333333334
25_1,25,1,9672,569.56,677.6233333,28.234305554166667
