ID,time,P,type
16_1,0.5,1455964.4,observed
16_1,0.535960648,1071083.13,observed
16_1,7.345914352,8925730.0,observed
16_1,10.27428241,15126952.32,observed
16_1,12.46107639,18407511.2,observed
16_1,17.4690162,12716157.45,observed
16_1,21.33849537,14354198.4,observed
16_1,24.46440972,17728341.24,observed
16_1,28.21945602,14921046.19,observed
16_1,34.52978009,22361924.11,observed
16_1,39.5456713,16307833.2,observed
16_1,42.21177083,26579024.64,observed
16_1,42.21177083,26579024.64,observed
16_1,0.0,1455964.4,simulated
16_1,1.0,1981529.3120862357,simulated
16_1,2.0,2668517.369494144,simulated
16_1,3.0,3545067.4664800633,simulated
16_1,4.0,4629636.338208637,simulated
16_1,5.0,5921694.92246396,simulated
16_1,6.0,7393240.452168433,simulated
16_1,7.0,8985765.62565448,simulated
16_1,8.0,10616735.876530267,simulated
16_1,9.0,12195403.394800076,simulated
16_1,10.0,13642126.014451701,simulated
16_1,11.0,14902983.072924932,simulated
16_1,12.0,15954640.68351559,simulated
16_1,13.0,16800148.92014334,simulated
16_1,14.0,17460051.601334736,simulated
16_1,15.0,17963269.03547732,simulated
16_1,16.0,18340249.597501077,simulated
16_1,17.0,18618920.477106243,simulated
16_1,18.0,18822895.19453317,simulated
16_1,19.0,18971119.133909125,simulated
16_1,20.0,19078264.732978947,simulated
16_1,21.0,19155421.967545994,simulated
16_1,22.0,19210831.887347125,simulated
16_1,23.0,19250545.771634262,simulated
16_1,24.0,19278969.663785666,simulated
16_1,25.0,19299292.552147437,simulated
16_1,26.0,19313812.77116491,simulated
16_1,27.0,19324181.760440428,simulated
16_1,28.0,19331583.595454242,simulated
16_1,29.0,19336865.954665072,simulated
16_1,30.0,19340635.029606856,simulated
16_1,31.0,19343323.983560618,simulated
16_1,32.0,19345242.168037217,simulated
16_1,33.0,19346610.425109327,simulated
16_1,34.0,19347586.366510637,simulated
16_1,35.0,19348282.455987647,simulated
16_1,36.0,19348778.929969985,simulated
16_1,37.0,19349133.02390215,simulated
16_1,38.0,19349385.566590585,simulated
16_1,39.0,19349565.681015927,simulated
16_1,40.0,19349694.13818263,simulated
16_1,41.0,19349785.753102597,simulated
16_1,42.0,19349851.092270605,simulated
16_1,43.0,19349897.691570118,simulated
16_2,0.5,1455964.4,observed
16_2,7.34724537,4732980.8,observed
16_2,10.27548611,13774704.3,observed
16_2,12.4621412,19914241.1,observed
16_2,17.46731481,9982234.22,observed
16_2,21.34109954,12063899.21,observed
16_2,24.46554398,18367008.4,observed
16_2,28.21291667,12955204.38,observed
16_2,34.53077546,17813314.48,observed
16_2,39.54689815,13361790.33,observed
16_2,42.21318287,28353658.41,observed
16_2,42.21318287,28353658.41,observed
16_2,0.0,1455964.4,simulated
16_2,1.0,1911540.1613939677,simulated
16_2,2.0,2488770.029500602,simulated
16_2,3.0,3206478.0869294936,simulated
16_2,4.0,4078219.874710357,simulated
