ID,time,P,type
16_1,0.5,2200.0,observed
16_1,0.535960648,2200.0,observed
16_1,7.345914352,11e3,observed
16_1,10.27428241,18912.0,observed
16_1,12.46107639,19960.0,observed
16_1,17.4690162,17599.0,observed
16_1,21.33849537,19680.0,observed
16_1,24.46440972,20954.0,observed
16_1,28.21945602,20887.0,observed
16_1,34.52978009,31303.0,observed
16_1,39.5456713,25860.0,observed
16_1,42.21177083,33992.0,observed
16_1,42.21177083,33992.0,observed
16_1,0.0,2200.0,simulated
16_1,1.0,2725.9821641655785,simulated
16_1,2.0,3360.781324773976,simulated
16_1,3.0,4118.483262189349,simulated
16_1,4.0,5011.034826447899,simulated
16_1,5.0,6046.247801287728,simulated
16_1,6.0,7225.536505361554,simulated
16_1,7.0,8541.758821937574,simulated
16_1,8.0,9977.70268961954,simulated
16_1,9.0,11505.815083753207,simulated
16_1,10.0,13089.611067011816,simulated
16_1,11.0,14686.802034681605,simulated
16_1,12.0,16253.657611830728,simulated
16_1,13.0,17749.687195265593,simulated
16_1,14.0,19141.610493558386,simulated
16_1,15.0,20405.842818500838,simulated
16_1,16.0,21529.21690181363,simulated
16_1,17.0,22508.16037870392,simulated
16_1,18.0,23346.858339834424,simulated
16_1,19.0,24054.997576286827,simulated
16_1,20.0,24645.575138507822,simulated
16_1,21.0,25133.064093550005,simulated
16_1,22.0,25532.05161443319,simulated
16_1,23.0,25856.337927106855,simulated
16_1,24.0,26118.420162655486,simulated
16_1,25.0,26329.26210036068,simulated
16_1,26.0,26498.25761368286,simulated
16_1,27.0,26633.312224037174,simulated
16_1,28.0,26740.987822616284,simulated
16_1,29.0,26826.673194184932,simulated
16_1,30.0,26894.757125376913,simulated
16_1,31.0,26948.790844826624,simulated
16_1,32.0,26991.633277347566,simulated
16_1,33.0,27025.576850562193,simulated
16_1,34.0,27052.453975342814,simulated
16_1,35.0,27073.725744101397,simulated
16_1,36.0,27090.554909858238,simulated
16_1,37.0,27103.865384271492,simulated
16_1,38.0,27114.390411581986,simulated
16_1,39.0,27122.71136064741,simulated
16_1,40.0,27129.288835303934,simulated
16_1,41.0,27134.487543745334,simulated
16_1,42.0,27138.596127864224,simulated
16_1,43.0,27141.84294369385,simulated
16_2,0.5,2200.0,observed
16_2,7.34724537,5735.0,observed
16_2,10.27548611,17570.0,observed
16_2,12.4621412,20410.0,observed
16_2,17.46731481,14033.0,observed
16_2,21.34109954,16973.0,observed
16_2,24.46554398,21355.0,observed
16_2,28.21291667,20571.0,observed
16_2,34.53077546,19384.0,observed
16_2,39.54689815,20841.0,observed
16_2,42.21318287,36927.0,observed
16_2,42.21318287,36927.0,observed
16_2,0.0,2200.0,simulated
16_2,1.0,2547.6278053036926,simulated
16_2,2.0,2943.936655510888,simulated
16_2,3.0,3393.7007906515737,simulated
16_2,4.0,3901.5126945801576,simulated
16_2,5.0,4471.546424908422,simulated
16_2,6.0,5107.272534851001,simulated
16_2,7.0,5811.133063417339,simulated
16_2,8.0,6584.1939055125495,simulated
16_2,9.0,7425.801566011765,simulated
16_2,10.0,8333.280497414598,simulated
16_2,11.0,9301.713670297699,simulated
16_2,12.0,10323.850014108695,simulated
16_2,13.0,11390.175433192137,simulated
16_2,14.0,12489.168869803792,simulated
16_2,15.0,13607.741593282537,simulated
16_2,16.0,14731.831127887115,simulated
16_2,17.0,15847.096014367826,simulated
16_2,18.0,16939.640071283804,simulated
16_2,19.0,17996.689711130875,simulated
16_2,20.0,19007.15599627222,simulated
16_2,21.0,19962.033041226634,simulated
16_2,22.0,20854.610419754077,simulated
16_2,23.0,21680.5037397209,simulated
16_2,24.0,22437.529043489936,simulated
16_2,25.0,23125.460054518993,simulated
16_2,26.0,23745.712615811244,simulated
16_2,27.0,24300.99738567492,simulated
16_2,28.0,24794.975521768087,simulated
16_2,29.0,25231.941661573605,simulated
16_2,30.0,25616.549577411366,simulated
16_2,31.0,25953.587235254945,simulated
16_2,32.0,26247.801834241753,simulated
16_2,33.0,26503.7711946638,simulated
16_2,34.0,26725.81542467251,simulated
16_2,35.0,26917.941872331226,simulated
16_2,36.0,27083.816336133114,simulated
16_2,37.0,27226.754116779608,simulated
16_2,38.0,27349.725378469495,simulated
16_2,39.0,27455.37028121376,simulated
16_2,40.0,27546.02030544145,simulated
16_2,41.0,27623.72304217526,simulated
16_2,42.0,27690.26845187086,simulated
16_2,43.0,27747.21518050435,simulated
16_3,0.5,2200.0,observed
16_3,7.348298611,9700.0,observed
16_3,10.27664352,17051.0,observed
16_3,12.46327546,23962.0,observed
16_3,17.46559028,19586.0,observed
16_3,21.344375,18672.0,observed
16_3,24.46657407,22711.0,observed
16_3,28.21805556,21970.0,observed
