replicate,K,r,sigma,isConv,finTol,logLik,AIC,BIC,deviance,df.residual,temperature
1,23258.27937951289,0.3098023379220988,3666.6622469151152,TRUE,1.4901161193847656e-8,-104.7820426751833,215.5640853503666,216.75777116876174,120999708.29657343,9,16
2,19624.160637317455,0.30238409050828435,3209.5491027953017,TRUE,1.4901161193847656e-8,-93.81252497386387,193.62504994772775,194.53280522670988,82409643.54603301,8,16
3,19875.54045436099,0.3666627918709346,3110.427261070908,TRUE,1.4901161193847656e-8,-112.44351760230958,230.88703520461917,232.34175515398317,96747577.46413073,10,16
4,20897.6863779039,0.3497260261840117,2443.1759005360223,TRUE,1.4901161193847656e-8,-109.54598190396204,225.0919638079241,226.5466837572881,59691084.80960004,10,16
5,19746.204234857727,0.351274628057424,2181.7339357977144,TRUE,1.4901161193847656e-8,-117.30272728069906,240.60545456139812,242.30030263378274,52359592.63272523,11,16
1,15099.096556300683,0.158427708710066,2674.3572243248923,TRUE,1.4901161193847656e-8,-129.26658547284842,264.53317094569684,266.4503429345426,85826238.7595849,12,25
2,16783.55688442087,0.11260352666858359,2119.3033543193833,TRUE,1.4901161193847656e-8,-116.92530457508023,239.85060915016047,241.54545722254508,49405913.78392328,11,25
3,14901.431970280672,0.1446138739129034,1752.2390997626367,TRUE,1.4901161193847656e-8,-105.55712987351725,217.1142597470345,218.56897969639851,30703418.627369758,10,25
4,15195.619679267093,0.1879542363868725,1790.1548214362824,TRUE,1.4901161193847656e-8,-114.73109541907182,235.46219083814364,237.15703891052826,35251197.13182725,11,25
5,13539.50980761054,0.2766075464326145,2291.8310610046797,TRUE,1.4901161193847656e-8,-127.10557384414336,260.2111476882867,262.1283196771325,63029875.34623004,12,25
1,1e5,0.032582164036077124,1026.2918243716051,TRUE,1.4901161193847656e-8,-99.13782203169819,204.27564406339638,205.7303640127604,10532749.087719977,10,32
2,8500.299505149873,0.195377408203509,3825.344494770817,TRUE,1.4901161193847656e-8,-95.56770563745059,197.13541127490117,198.0431665538833,117066084.02938718,8,32
3,7407.4320068201,0.1039602127912627,2305.6989928685957,TRUE,1.4901161193847656e-8,-99.67916580198893,205.35833160397786,206.55201742237298,47846230.61143731,9,32
4,6552.501688003841,0.10641691478151764,1007.6192664902459,TRUE,1.4901161193847656e-8,-82.22712423012574,170.45424846025148,171.36200373923361,8122372.68961873,8,32
5,7093.800175450138,0.08713796440785378,1260.8768429808802,TRUE,1.4901161193847656e-8,-93.03982435567292,192.07964871134584,193.27333452974096,14308293.71848888,9,32
1,6761.6316405565485,0.0626992044148224,862.3938255222066,TRUE,1.4901161193847656e-8,-88.86146748553539,183.72293497107077,184.9166207894659,6693507.992689435,9,38
2,1e5,0.034751078856125515,1187.8458378682192,TRUE,1.4901161193847656e-8,-83.87263482945616,173.74526965891232,174.65302493789446,11287821.876326814,8,38
3,8698.391635052674,0.08417343495320068,947.6871694976045,TRUE,1.4901161193847656e-8,-73.32575199191223,152.65150398382445,153.2431777158331,6286776.798612669,7,38
4,7550.53387637474,0.05633876683514005,457.673467991278,TRUE,1.4901161193847656e-8,-66.7749356723085,139.549871344617,140.14154507662568,1466255.0231221435,7,38
5,1e5,0.019573884639426692,453.59659493770846,TRUE,1.4901161193847656e-8,-74.2457500318185,154.491500063637,155.39925534261914,1645998.9675126683,8,38
1,24410.88245198089,0.10889808530780708,2476.2022949633138,TRUE,1.4901161193847656e-8,-91.21848090342272,188.43696180684543,189.34471708582757,49052622.44465266,8,5
2,27781.791145686173,0.10339915872467456,2395.457412810674,TRUE,1.4901161193847656e-8,-90.88696235716753,187.77392471433507,188.6816799933172,45905729.732716866,8,5
3,28411.14930445115,0.09500610694382812,1152.813236737547,TRUE,1.4901161193847656e-8,-83.5732728441674,173.1465456883348,174.05430096731695,10631826.870378396,8,5
4,27483.467252713188,0.11336687756200653,3207.5557173569637,TRUE,1.4901161193847656e-8,-103.31054418050715,212.6210883610143,213.81477417940943,92595723.1195441,9,5
5,24738.546974204433,0.11122617670644133,2171.0487179210954,TRUE,1.4901161193847656e-8,-108.1289203769752,222.2578407539504,223.7125607033144,47134525.35586833,10,5
1,22945.82335682559,0.1554784475474404,1353.6830552026713,TRUE,1.4901161193847656e-8,-111.09794587569203,228.19589175138407,229.89073982376868,20157035.953371223,11,8
2,24181.35436421619,0.20170490133542196,2799.7204537128573,TRUE,1.4901161193847656e-8,-120.54492247320316,247.08984494640632,248.78469301879093,86222780.8083194,11,8
3,26506.203364630528,0.13373424165738598,2232.8366351804325,TRUE,1.4901161193847656e-8,-108.46567013550722,222.93134027101445,224.38606022037845,49855594.39403877,10,8
4,22441.039192145126,0.1541945102308719,2616.9914942430273,TRUE,1.4901161193847656e-8,-101.07222221585214,208.14444443170427,209.3381302500994,61637800.328463174,9,8
5,20672.735330890715,0.20251774831061323,3595.087043526106,TRUE,1.4901161193847656e-8,-123.79555465056892,253.59110930113783,255.28595737352245,142171159.35582206,11,8
