unique_id,term,conf.low,conf.high,estimate,std.error,statistic,p.value,temperature,rep,inverse_temp,mean_size,set
16_1,K,17023.846513080054,19379.154965956295,18201.500739518175,569.2842645910656,31.972604675087712,1.444271335414387e-20,16,1,40.134763706879696,56.300417043357776,new
16_2,K,14785.799800193723,18296.328103148997,16541.06395167136,844.0336920855059,19.597634675933822,5.629404843933284e-15,16,2,40.134763706879696,57.47316154296687,new
16_3,K,15932.942159267714,18516.411378338616,17224.676768803165,624.4313234966833,27.584581555500165,3.9638214558982095e-19,16,3,40.134763706879696,53.35340142213394,new
16_4,K,17144.94282840219,19752.05568587207,18448.49925713713,630.1460532518382,29.2765449564185,1.0454487937858587e-19,16,4,40.134763706879696,56.28945833982757,new
16_5,K,16781.087872665907,18555.893091811253,17668.49048223858,430.8744832119536,41.00611934716771,1.8815240720250292e-24,16,5,40.134763706879696,59.582008117102404,new
25_1,K,10828.477822671599,13785.408025675833,12306.942924173716,720.5590762137019,17.079713975490538,5.339869549666396e-16,25,1,38.92324979320565,57.545161668526895,new
25_2,K,10058.716296657118,14099.398878265658,12079.057587461388,976.6436362540489,12.367927398565804,1.2068320044466796e-11,25,2,38.92324979320565,51.73628461326575,new
25_3,K,9480.0310355387,12363.564748214363,10921.797891876531,696.9577029452319,15.670675344748696,9.11784935213983e-14,25,3,38.92324979320565,57.73922504745566,new
25_4,K,12204.785820221607,13985.43493311629,13095.110376668948,435.3176475180253,30.081735604635043,2.035834126481432e-23,25,4,38.92324979320565,55.025186178282006,new
25_5,K,9985.839653220837,12038.128623181181,11011.984138201009,496.0436564329781,22.199626979180753,4.9154396162943213e-17,25,5,38.92324979320565,52.90770413718816,new
5_1,K,17916.877994596325,22971.334454733813,20444.10622466507,1227.084691709322,16.660713284742023,4.7827238742731915e-15,5,1,41.72197348856467,85.75567130625313,new
5_2,K,18223.06016859808,25566.57581085885,21894.817989728464,1754.283622969818,12.480774318956952,1.3307081453294288e-10,5,2,41.72197348856467,85.17176014631131,new
5_3,K,19411.84642742958,27243.229858281,23327.53814285529,1870.8297724426595,12.469086437724131,1.352110858087174e-10,5,3,41.72197348856467,88.01800309912149,new
5_4,K,21215.094966020977,28607.74426613552,24911.41961607825,1766.0211034231095,14.10595805893373,1.6141287758771084e-11,5,4,41.72197348856467,87.5815091795098,new
5_5,K,18193.97386272997,22578.425449550956,20386.199656140463,1047.3963683280404,19.463691370901895,5.2170392986663655e-14,5,5,41.72197348856467,85.31858756040357,new
8_1,K,19082.020551570557,20631.1763622596,19856.59845691508,372.46237194864904,53.311689857499715,6.661664011427527e-24,8,1,41.2767808139579,74.38568991664769,new
8_2,K,20885.716281872614,24323.754346168396,22604.735314020505,821.3087797664377,27.522821953089064,8.984593323584944e-17,8,2,41.2767808139579,70.35418636398681,new
8_3,K,17768.54639973041,22005.678118623102,19887.112259176756,1012.2033021953284,19.6473497132882,4.39968713024441e-14,8,3,41.2767808139579,77.97004063792285,new
8_4,K,18062.009712012157,21174.342189313575,19618.175950662866,743.5013636719196,26.386200361186773,1.9635909675327678e-16,8,4,41.2767808139579,81.04289041344929,new
8_5,K,18605.672456299242,20987.60930226585,19796.640879282546,572.6872928850199,34.56797649473458,5.3804704481343616e-20,8,5,41.2767808139579,76.70068325024883,new
32_1,K,1794.0793619720623,5348.702638820759,3571.3910003964106,854.6354136515583,4.178847428211646,4.2366869871399767e-4,32,1,38.03036842813129,NA,new
32_2,K,-1320.3291190769305,11074.60029287109,4877.1355868970795,2961.009785301303,1.6471190372647815,0.11597315631653296,32,2,38.03036842813129,NA,new
32_3,K,2892.191299543322,6840.099545777989,4866.145422660656,943.1110545336583,5.159673825546268,5.572264095706399e-5,32,3,38.03036842813129,NA,new
32_4,K,2476.401002000508,7523.598997999492,5e3,1213.4940361151282,4.1203333936497675,4.8730558819947534e-4,32,4,38.03036842813129,NA,new
32_5,K,1774.7424312489056,7151.9953931366945,4463.3689121928,1305.4509114916057,3.4190247008927845,0.0021618388437902964,32,5,38.03036842813129,NA,new
