temperature,species,rep,particle_id,area_abd,area_filled,aspect_ratio,average_blue,average_green,average_red,calibration_factor,calibration_image,camera,capture_x,capture_y,ch1_area,ch1_peak,ch1_width,ch2_area,ch2_peak,ch2_width,ch2_ch1_ratio,circle_fit,circularity,circularity_hu,compactness,convex_perimeter,convexity,date,diameter_abd,diameter_esd,edge_gradient,elongation,feret_angle_max,feret_angle_min,fiber_curl,fiber_straightness,filter_score,geodesic_aspect_ratio,geodesic_length,geodesic_thickness,image_file,image_height,image_width,image_x,image_y,intensity,length,particles_per_chain,perimeter,ratio_blue_green,ratio_red_blue,ratio_red_green,roughness,scatter_area,scatter_peak,scatter_width,sigma_intensity,source_image,sum_intensity,symmetry,time,timestamp,transparency,volume_abd,volume_esd,width
5,TT,1,1,126.12,126.12,0.82,101.58,94.4,94.22,0.5526,1,1,1052,337,0,0,0,0,0,0,0,0.78,0.69,0.96,1.46,49.84,0.95,2016-12-01,12.67,14.16,160.16,2.11,-85,40,0.23,0.81,0,0.47,19.5,9.25,05TT1_size_images_000001.tif,43,39,2,2,94.42,15.83,1,57.51,1.08,0.93,1,1.14,0,0,0,39.51,361,55804,0.77,19:08:44,2016-12-02T02:08:44Z,0.1,1065.432,1485.881,12.79
5,TT,1,2,82.7,91.1,0.8,127.61,117.41,120.9,0.5526,1,1,480,654,0,0,0,0,0,0,0,0.76,0.61,0.95,1.64,43.8,0.97,2016-12-01,10.26,12.24,156.29,2.78,-70,15,0.42,0.7,0,0.36,19.6,7.04,05TT1_size_images_000001.tif,38,35,43,2,119.24,13.79,1,53.28,1.09,0.95,1.03,1.46,0,0,0,35.85,396,49841,0.72,19:08:47,2016-12-02T02:08:47Z,0.16,565.7839,959.1915,11.16
5,TT,1,3,111.39,111.39,0.83,113.39,118.96,128.48,0.5526,1,1,989,244,0,0,0,0,0,0,0,0.82,0.77,0.97,1.29,45.78,1,2016-12-01,11.91,12.87,154.88,1.27,90,20,0,1.02,0,0.79,14.38,11.32,05TT1_size_images_000001.tif,41,36,80,2,121.16,14.64,1,51.4,0.95,1.13,1.08,1.11,0,0,0,38.2,452,64576,0.8,19:08:52,2016-12-02T02:08:52Z,0.07,884.3267,1115.475,10.72
5,TT,1,4,95.58,95.58,0.84,103.33,94.27,91.16,0.5526,1,1,191,281,0,0,0,0,0,0,0,0.78,0.75,0.96,1.33,43.65,1,2016-12-01,11.03,12.19,152.05,1.54,75,0,0.09,0.92,0,0.65,14.88,9.65,05TT1_size_images_000001.tif,38,33,118,2,94.15,13.62,1,49.05,1.1,0.88,0.97,1.11,0,0,0,31.78,461,44251,0.7,19:08:53,2016-12-02T02:08:53Z,0.1,702.8904,948.3036,10.22
5,TT,1,5,79.51,79.51,0.46,122.83,123.89,131.79,0.5526,1,1,601,309,0,0,0,0,0,0,0,0.48,0.62,0.75,1.62,45.33,1,2016-12-01,10.06,12.72,145.22,2.7,-70,30,0,1,0,0.37,18.29,6.76,05TT1_size_images_000001.tif,45,31,153,2,125.07,18.37,1,50.1,0.99,1.07,1.06,1.09,0,0,0,27.09,322,50655,0.91,19:08:41,2016-12-02T02:08:41Z,0.21,533.3739,1078.272,7.05
5,TT,1,6,124.59,124.59,0.9,111.75,110.88,109.43,0.5526,1,1,757,478,0,0,0,0,0,0,0,0.83,0.64,0.98,1.56,49.05,0.96,2016-12-01,12.59,13.91,143.24,2.52,70,-20,0.37,0.73,0,0.4,21.21,8.42,05TT1_size_images_000001.tif,41,38,186,2,110.01,15.53,1,59.27,1.01,0.98,0.99,1.19,0,0,0,40.89,663,64357,0.73,19:09:10,2016-12-02T02:09:10Z,0.09,1046.092,1408.768,12.47
5,TT,1,7,94.33,94.33,0.65,104.6,102.68,109.56,0.5526,1,1,565,726,0,0,0,0,0,0,0,0.7,0.78,0.91,1.29,43.47,1,2016-12-01,10.96,12.13,142.47,1.24,-65,15,0,1.12,0,0.8,13.28,10.69,05TT1_size_images_000001.tif,39,33,226,2,104.72,14.89,1,47.95,1.02,1.05,1.07,1.09,0,0,0,27.9,437,48696,0.78,19:08:51,2016-12-02T02:08:51Z,0.1,689.1988,934.9919,9.31
5,TT,1,8,92.84,92.84,0.64,107.47,108.88,119.01,0.5526,1,1,973,451,0,0,0,0,0,0,0,0.61,0.6,0.89,1.68,45.24,0.98,2016-12-01,10.87,12.7,141.47,2.94,15,90,0.3,0.77,0,0.34,20.28,6.91,05TT1_size_images_000001.tif,32,42,261,2,111.53,15.61,1,54.39,0.99,1.11,1.09,1.19,0,0,0,28.91,293,51190,0.56,19:08:39,2016-12-02T02:08:39Z,0.14,672.9097,1071.43,9.67
5,TT,1,9,112.65,112.65,0.89,109.78,116.52,125.57,0.5526,1,1,1026,143,0,0,0,0,0,0,0,0.87,0.76,0.99,1.31,46.14,1,2016-12-01,11.98,12.98,139.89,1.41,5,65,0.08,0.93,0,0.71,15.24,10.78,05TT1_size_images_000001.tif,36,40,305,2,118.44,14.17,1,52.04,0.94,1.14,1.08,1.12,0,0,0,38.21,579,63721,0.86,19:09:03,2016-12-02T02:09:03Z,0.08,899.4186,1145.636,11.49
5,TT,1,10,160.15,160.15,0.74,102.11,97.92,99.82,0.5526,1,1,488,757,0,0,0,0,0,0,0,0.72,0.57,0.94,1.75,56.26,0.93,2016-12-01,14.28,16.2,137.99,3.18,40,-45,0.38,0.73,0,0.31,26.51,8.33,05TT1_size_images_000001.tif,44,44,347,2,98.8,19.22,1,69.67,1.04,0.98,1.02,1.22,0,0,0,41.83,470,71434,0.71,19:08:54,2016-12-02T02:08:54Z,0.12,1524.541,2226.149,13.31
