temperature,species,rep,particle_id,area_abd,area_filled,aspect_ratio,average_blue,average_green,average_red,calibration_factor,calibration_image,camera,capture_x,capture_y,ch1_area,ch1_peak,ch1_width,ch2_area,ch2_peak,ch2_width,ch2_ch1_ratio,circle_fit,circularity,circularity_hu,compactness,convex_perimeter,convexity,date,diameter_abd,diameter_esd,edge_gradient,elongation,feret_angle_max,feret_angle_min,fiber_curl,fiber_straightness,filter_score,geodesic_aspect_ratio,geodesic_length,geodesic_thickness,image_file,image_height,image_width,image_x,image_y,intensity,length,particles_per_chain,perimeter,ratio_blue_green,ratio_red_blue,ratio_red_green,roughness,scatter_area,scatter_peak,scatter_width,sigma_intensity,source_image,sum_intensity,symmetry,time,timestamp,transparency,volume_abd,volume_esd,width
5,TT,1,1,70.02,70.02,0.81,77.26,76.19,87.58,0.5526,1,1,4,143,0,0,0,0,0,0,0,0.84,0.88,0.97,1.13,36.81,1,2016-11-14,9.44,10.01,183.7,1,-15,65,0,1.12,0,1,9.97,9.97,05TT1_size1_images_000001.tif,32,34,2,2,79.68,11.2,1,39.89,1.01,1.13,1.15,1.07,0,0,0,33.71,623,29163,0.75,15:51:04,2016-11-14T22:51:04Z,0.06,440.7997,525.8526,8.48
5,TT,1,2,78.05,78.05,0.87,92.2,88.77,92.25,0.5526,1,1,300,499,0,0,0,0,0,0,0,0.84,0.8,0.98,1.26,39.08,1,2016-11-14,9.97,10.74,177.61,1,55,-40,0,1.03,0,1,10.96,10.96,05TT1_size1_images_000001.tif,34,34,38,2,90.2,11.24,1,43.85,1.04,1,1.04,1.11,0,0,0,38.72,579,35989,0.75,15:51:00,2016-11-14T22:51:00Z,0.07,518.6739,647.7912,10.03
5,TT,1,3,86.4,86.4,0.89,96.71,98.57,108.19,0.5526,1,1,1183,67,0,0,0,0,0,0,0,0.81,0.74,0.97,1.35,41.41,1,2016-11-14,10.49,11.48,177.16,1.65,-25,75,0.19,0.84,0,0.61,14.75,8.96,05TT1_size1_images_000001.tif,34,36,74,2,100.54,12.42,1,47.43,0.98,1.12,1.1,1.13,0,0,0,38.75,203,43534,0.67,15:50:29,2016-11-14T22:50:29Z,0.09,604.1201,791.6637,10.49
5,TT,1,4,114.93,114.93,0.79,94.56,98.99,103.65,0.5526,1,1,319,327,0,0,0,0,0,0,0,0.81,0.87,0.97,1.15,45.71,1,2016-11-14,12.1,12.84,175.7,1,20,-70,0,1.15,0,1,12.3,12.3,05TT1_size1_images_000001.tif,36,39,112,2,99.71,14.17,1,49.18,0.96,1.1,1.05,1.07,0,0,0,36.71,474,54540,0.85,15:50:52,2016-11-14T22:50:52Z,0.06,926.8347,1109.679,11.14
5,TT,1,5,103.08,105.34,0.61,84.99,91.18,103.47,0.5526,1,1,15,883,0,0,0,0,0,0,0,0.64,0.73,0.88,1.38,46.09,0.99,2016-11-14,11.46,12.97,171.96,1.75,5,70,0.04,0.96,0,0.57,16.51,9.41,05TT1_size1_images_000001.tif,34,43,153,2,94.13,15.87,1,51.85,0.93,1.22,1.13,1.22,0,0,0,33.99,585,47063,0.77,15:51:01,2016-11-14T22:51:01Z,0.12,787.2496,1141.18,9.82
5,TT,1,6,94.58,94.58,0.68,87.7,88.54,96.3,0.5526,1,1,249,659,0,0,0,0,0,0,0,0.7,0.72,0.92,1.39,43.74,0.98,2016-11-14,10.97,12.22,170.23,1.81,15,-80,0.1,0.91,0,0.55,16.05,8.87,05TT1_size1_images_000001.tif,33,40,198,2,90.73,14.55,1,49.83,0.99,1.1,1.09,1.13,0,0,0,33.74,382,42281,0.7,15:50:44,2016-11-14T22:50:44Z,0.1,691.9286,955.1426,9.78
5,TT,1,7,46.36,46.36,0.67,102.66,94.85,101.42,0.5526,1,1,444,652,0,0,0,0,0,0,0,0.75,0.92,0.92,1.09,31.63,1,2016-11-14,7.68,8.36,168.62,1,-20,90,0,1.19,0,1,8.34,8.34,05TT1_size1_images_000001.tif,25,31,240,2,96.95,9.96,1,33.37,1.08,0.99,1.07,1.04,0,0,0,27.98,160,25788,0.85,15:50:25,2016-11-14T22:50:25Z,0.08,237.4574,306.4437,5.8
5,TT,1,8,81.72,81.72,0.76,107.46,108.98,116.27,0.5526,1,1,625,285,0,0,0,0,0,0,0,0.78,0.73,0.95,1.37,41.65,1,2016-11-14,10.2,11.55,168.01,1.74,35,90,0.13,0.88,0,0.58,14.83,8.53,05TT1_size1_images_000001.tif,31,37,273,2,109.79,13.1,1,46.71,0.99,1.08,1.07,1.11,0,0,0,40.85,162,45452,0.75,15:50:26,2016-11-14T22:50:26Z,0.12,555.7305,807.5603,9.12
5,TT,1,9,89.12,89.12,0.62,98.33,104.47,117.05,0.5526,1,1,1229,236,0,0,0,0,0,0,0,0.66,0.65,0.88,1.53,43.74,0.95,2016-11-14,10.65,12.22,165.65,2.39,15,85,0.21,0.82,0,0.42,18.01,7.53,05TT1_size1_images_000001.tif,32,40,312,2,107.3,14.83,1,51.07,0.94,1.19,1.12,1.15,0,0,0,35.01,921,47642,0.76,15:51:29,2016-11-14T22:51:29Z,0.13,632.8645,955.2981,9.27
5,TT,1,10,73.42,73.42,0.94,101.96,105.35,114.24,0.5526,1,1,877,548,0,0,0,0,0,0,0,0.77,0.71,0.98,1.41,38.58,0.99,2016-11-14,9.67,10.58,164.51,1.89,-35,80,0.32,0.76,0,0.53,14.8,7.84,05TT1_size1_images_000001.tif,32,34,354,2,107.62,11.24,1,45.28,0.97,1.12,1.08,1.16,0,0,0,37.4,325,40896,0.63,15:50:39,2016-11-14T22:50:39Z,0.09,473.216,619.406,9.33
5,TT,1,11,54.99,54.99,0.8,92.84,88.55,100.45,0.5526,1,1,1187,916,0,0,0,0,0,0,0,0.79,0.75,0.96,1.33,35.22,1,2016-11-14,8.37,9.51,162.03,1.51,-70,-10,0.07,0.93,0,0.66,11.82,7.83,05TT1_size1_images_000001.tif,33,30,390,2,92.23,11,1,39.29,1.05,1.08,1.13,1.1,0,0,0,37.44,515,27946,0.77,15:50:55,2016-11-14T22:50:55Z,0.12,306.7218,449.9194,8.41
5,TT,1,12,79.02,79.02,0.59,119.38,113.56,119.85,0.5526,1,1,698,584,0,0,0,0,0,0,0,0.62,0.66,0.86,1.52,41.69,0.98,2016-11-14,10.03,11.57,160.92,2.36,75,0,0.22,0.82,0,0.42,17.05,7.22,05TT1_size1_images_000001.tif,39,30,422,2,115.66,14.01,1,48.54,1.05,1,1.06,1.15,0,0,0,28.22,211,46612,0.67,15:50:30,2016-11-14T22:50:30Z,0.13,528.4557,810.2864,8.57
5,TT,1,13,92.59,92.59,0.69,100.68,98.13,108.96,0.5526,1,1,754,920,0,0,0,0,0,0,0,0.71,0.65,0.92,1.55,43.44,0.96,2016-11-14,10.86,12.12,160.28,2.46,15,90,0.32,0.76,0,0.41,18.55,7.54,05TT1_size1_images_000001.tif,33,39,454,2,101.44,14.01,1,52.18,1.03,1.08,1.11,1.18,0,0,0,37.55,112,46461,0.57,15:50:21,2016-11-14T22:50:21Z,0.1,670.2098,932.9875,10.22
5,TT,1,14,96.32,96.32,0.68,111.67,112.17,121.11,0.5526,1,1,721,790,0,0,0,0,0,0,0,0.7,0.76,0.9,1.31,44.42,0.99,2016-11-14,11.07,12.43,159.21,1.39,35,90,0,1.04,0,0.72,14.17,10.19,05TT1_size1_images_000001.tif,33,38,495,2,114.59,14.77,1,48.73,1,1.08,1.08,1.09,0,0,0,38.47,593,54202,0.78,15:51:02,2016-11-14T22:51:02Z,0.11,711.1563,1006.54,10.22
5,TT,1,15,73.66,73.66,0.77,88.59,85.56,91.57,0.5526,1,1,97,659,0,0,0,0,0,0,0,0.77,0.75,0.95,1.33,39.19,1,2016-11-14,9.68,10.77,158.77,1.55,10,90,0.11,0.9,0,0.65,13.41,8.68,05TT1_size1_images_000001.tif,30,36,535,2,87.67,12.05,1,44.17,1.04,1.03,1.07,1.11,0,0,0,34.51,863,33404,0.72,15:51:24,2016-11-14T22:51:24Z,0.1,475.5668,654.3858,8.57
5,TT,1,16,133.79,133.79,0.7,112.99,122.33,130.75,0.5526,1,1,642,260,0,0,0,0,0,0,0,0.72,0.68,0.92,1.47,50.69,0.95,2016-11-14,13.05,14.43,158.67,2.17,-5,-70,0.23,0.81,0,0.46,20.28,9.35,05TT1_size1_images_000001.tif,37,44,573,2,123.48,16.42,1,59.27,0.92,1.16,1.07,1.16,0,0,0,33.15,102,76680,0.75,15:50:21,2016-11-14T22:50:21Z,0.1,1164.178,1573.174,12.32
5,TT,1,17,99.82,99.82,0.69,91.03,92.38,97.36,0.5526,1,1,192,891,0,0,0,0,0,0,0,0.73,0.63,0.92,1.58,45.4,0.95,2016-11-14,11.27,12.75,157.14,2.59,-75,25,0.33,0.75,0,0.39,19.61,7.58,05TT1_size1_images_000001.tif,40,35,619,2,92.57,14.69,1,54.39,0.99,1.07,1.05,1.18,0,0,0,34.35,283,45084,0.77,15:50:36,2016-11-14T22:50:36Z,0.12,750.2322,1084.395,10.88
