temperature,species,rep,particle_id,area_abd,area_filled,aspect_ratio,average_blue,average_green,average_red,calibration_factor,calibration_image,camera,capture_x,capture_y,ch1_area,ch1_peak,ch1_width,ch2_area,ch2_peak,ch2_width,ch2_ch1_ratio,circle_fit,circularity,circularity_hu,compactness,convex_perimeter,convexity,date,diameter_abd,diameter_esd,edge_gradient,elongation,feret_angle_max,feret_angle_min,fiber_curl,fiber_straightness,filter_score,geodesic_aspect_ratio,geodesic_length,geodesic_thickness,image_file,image_height,image_width,image_x,image_y,intensity,length,particles_per_chain,perimeter,ratio_blue_green,ratio_red_blue,ratio_red_green,roughness,scatter_area,scatter_peak,scatter_width,sigma_intensity,source_image,sum_intensity,symmetry,time,timestamp,transparency,volume_abd,volume_esd,width
5,TT,1,1,85.66,90.11,0.92,124.43,117.31,118.74,0.5526,1,1,1200,247,0,0,0,0,0,0,0,0.83,0.81,0.98,1.23,41.33,1,2016-10-31,10.44,11.45,124.48,1,70,0,0,1.09,0,1,11.51,11.51,05TT1_size_images_000001.tif,36,33,2,2,113.91,12.56,1,46.06,1.06,0.95,1.01,1.35,0,0,0,36.23,261,48982,0.75,14:59:22,2016-10-31T21:59:22Z,0.09,596.373,786.3813,10.22
5,TT,1,2,67.37,70.27,0.6,100.31,105.66,114.23,0.5526,1,1,135,497,0,0,0,0,0,0,0,0.65,0.76,0.88,1.32,39.36,1,2016-10-31,9.26,10.83,139.69,1.45,10,-80,0,1.13,0,0.69,12.73,8.8,05TT1_size_images_000001.tif,28,40,37,2,107.38,14.42,1,43.07,0.95,1.14,1.08,1.24,0,0,0,23.54,437,38120,0.82,14:59:36,2016-10-31T21:59:36Z,0.14,415.9834,664.4275,6.87
5,TT,1,3,93.83,93.83,0.79,93.93,97.48,107.46,0.5526,1,1,874,750,0,0,0,0,0,0,0,0.79,0.78,0.97,1.28,43.09,1,2016-10-31,10.93,12.01,179.83,1.11,30,-55,0,1.13,0,0.9,12.5,11.31,05TT1_size_images_000001.tif,34,37,79,2,100.05,14.17,1,47.62,0.96,1.14,1.1,1.09,0,0,0,33.57,445,46321,0.8,14:59:37,2016-10-31T21:59:37Z,0.09,683.752,907.4028,9.79
5,TT,1,4,103.83,103.83,0.67,123.11,132.64,137.95,0.5526,1,1,526,277,0,0,0,0,0,0,0,0.63,0.63,0.91,1.59,46.67,0.96,2016-10-31,11.5,13.15,155.82,2.62,30,-50,0.28,0.78,0,0.38,20.06,7.66,05TT1_size_images_000001.tif,37,39,118,2,132.99,15.68,1,55.44,0.93,1.12,1.04,1.17,0,0,0,36.79,476,66893,0.61,14:59:40,2016-10-31T21:59:40Z,0.13,795.8913,1190.823,11.23
5,TT,1,5,114.42,123.57,0.98,139.42,132.79,132.79,0.5526,1,1,414,66,0,0,0,0,0,0,0,0.76,0.61,0.97,1.65,48.91,0.96,2016-10-31,12.07,13.86,79.83,2.81,-15,30,0.54,0.65,0,0.36,22.34,7.94,05TT1_size_images_000001.tif,39,40,159,2,133.16,14.55,1,60.56,1.05,0.95,1,1.47,0,0,0,44.25,617,72571,0.69,14:59:51,2016-10-31T21:59:51Z,0.13,920.7145,1394.56,13.2
5,TT,1,6,114.17,114.17,0.97,111.66,115.54,119.43,0.5526,1,1,1011,179,0,0,0,0,0,0,0,0.57,0.4,0.85,2.52,52.71,0.81,2016-10-31,12.06,15.07,114.63,5.74,5,60,0.83,0.55,0,0.17,30.89,5.38,05TT1_size_images_000001.tif,39,45,201,2,115.24,16.88,1,72.53,0.97,1.07,1.03,1.35,0,0,0,50.43,72,62688,0.4,14:59:06,2016-10-31T21:59:06Z,0.2,917.6603,1792.163,13.07
5,TT,1,7,172.4,172.4,0.83,137.17,128.37,126.3,0.5526,1,1,816,704,0,0,0,0,0,0,0,0.48,0.49,0.89,2.05,58.13,0.92,2016-10-31,14.82,16.8,68.31,4.21,10,-75,0.73,0.58,0,0.24,31.47,7.47,05TT1_size_images_000001.tif,44,47,248,2,126.82,18.23,1,77.88,1.07,0.92,0.98,1.32,0,0,0,33.57,177,97655,0.41,14:59:15,2016-10-31T21:59:15Z,0.12,1702.874,2481.087,15.11
5,TT,2,1,90.11,90.11,0.85,115.38,112.7,116.71,0.5526,1,1,1120,350,0,0,0,0,0,0,0,0.74,0.49,0.93,2.06,46.07,0.88,2016-10-31,10.71,12.96,110.01,4.22,55,10,0.63,0.61,0,0.24,24.04,5.69,05TT2_size_images_000001.tif,40,34,2,2,110.76,14.77,1,59.46,1.02,1.01,1.04,1.27,0,0,0,53.49,672,49620,0.72,15:06:51,2016-10-31T22:06:51Z,0.17,643.448,1139.823,10.74
5,TT,2,2,120,120,0.97,118.71,118.92,118.42,0.5526,1,1,542,421,0,0,0,0,0,0,0,0.8,0.61,0.98,1.63,48.67,0.95,2016-10-31,12.36,13.79,117.99,2.77,25,70,0.47,0.68,0,0.36,21.88,7.91,05TT2_size_images_000001.tif,39,39,38,2,118.26,14.89,1,59.59,1,1,1,1.21,0,0,0,43.38,715,67052,0.72,15:06:55,2016-10-31T22:06:55Z,0.1,988.902,1372.264,12.42
5,TT,2,3,83.44,83.44,0.91,105.28,107.15,112.24,0.5526,1,1,1112,37,0,0,0,0,0,0,0,0.74,0.59,0.96,1.7,42.17,0.95,2016-10-31,10.31,11.72,118.79,3,35,-20,0.54,0.65,0,0.33,19.64,6.55,05TT2_size_images_000001.tif,35,36,79,2,107.77,12.78,1,52.37,0.98,1.07,1.05,1.22,0,0,0,44.39,351,45373,0.61,15:06:25,2016-10-31T22:06:25Z,0.12,573.371,842.6207,10.34
