file_name,temperature,species,rep,cell_density,start_time,cell_volume,start.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours,total_biovolume
05TT1_size/summary_export,5,TT,1,4298,2016-11-28  11:35:30,872.02,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-28 11:35:30 UTC,31.242893518518517,749.8294444444444,3747941.96
05TT2_size/summary_export,5,TT,2,5665,2016-11-28  11:37:06,906.75,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-28 11:37:06 UTC,31.24400462962963,749.8561111111111,5136738.75
05TT3_size/summary_export,5,TT,3,6935,2016-11-28  11:44:17,840.32,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-28 11:44:17 UTC,31.248993055555555,749.9758333333333,5827619.2
05TT4_size/summary_export,5,TT,4,8099,2016-11-28  11:42:44,843.89,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-28 11:42:44 UTC,31.247916666666665,749.95,6834665.11
05TT5_size/summary_export,5,TT,5,6860,2016-11-28  11:45:58,864.98,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-28 11:45:58 UTC,31.250162037037036,750.0038888888889,5933762.8
08TT1_size/summary_export,8,TT,1,7125,2016-11-28  11:47:34,736.39,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-28 11:47:34 UTC,31.251273148148147,750.0305555555556,5246778.75
08TT2_size/summary_export,8,TT,2,8300,2016-11-28  11:49:11,698.48,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-28 11:49:11 UTC,31.252395833333335,750.0575,5797384
08TT3_size/summary_export,8,TT,3,7037,2016-11-28  11:58:21,774.18,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-28 11:58:21 UTC,31.258761574074075,750.2102777777778,5447904.659999999
08TT4_size/summary_export,8,TT,4,8224,2016-11-28  11:59:51,792.66,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-28 11:59:51 UTC,31.25980324074074,750.2352777777778,6518835.84
08TT5_size/summary_export,8,TT,5,9294,2016-11-28  12:01:21,773.38,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-28 12:01:21 UTC,31.260844907407407,750.2602777777778,7187793.72
16TT1_size/summary_export,16,TT,1,5371,2016-11-28  12:02:56,649.07,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-28 12:02:56 UTC,31.261944444444445,750.2866666666666,3486154.97
16TT2_size/summary_export,16,TT,2,4912,2016-11-28  12:04:28,560.58,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-28 12:04:28 UTC,31.26300925925926,750.3122222222222,2753568.9600000004
16TT3_size/summary_export,16,TT,3,6046,2016-11-28  12:05:56,600.41,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-28 12:05:56 UTC,31.264027777777777,750.3366666666667,3630078.86
16TT4_size/summary_export,16,TT,4,3734,2016-11-28  12:07:24,549.34,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-28 12:07:24 UTC,31.265046296296298,750.3611111111111,2051235.56
16TT5_size/summary_export,16,TT,5,4838,2016-11-28  12:08:52,569.95,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-28 12:08:52 UTC,31.266064814814815,750.3855555555556,2757418.1
25TT1_size/summary_export,25,TT,1,1505,2016-11-28  12:42:00,548.56,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-28 12:42:00 UTC,31.289074074074072,750.9377777777778,825582.7999999999
25TT2_size/summary_export,25,TT,2,1900,2016-11-28  12:43:29,667.26,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-28 12:43:29 UTC,31.290104166666666,750.9625,1267794
25TT3_size/summary_export,25,TT,3,2105,2016-11-28  12:45:00,636.87,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-28 12:45:00 UTC,31.291157407407407,750.9877777777778,1340611.35
25TT4_size/summary_export,25,TT,4,2077,2016-11-28  12:46:27,585.02,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-28 12:46:27 UTC,31.292164351851852,751.0119444444445,1215086.54
25TT5_size/summary_export,25,TT,5,2124,2016-11-28  12:48:27,531.38,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-28 12:48:27 UTC,31.293553240740742,751.0452777777778,1128651.1199999999
