"","sample_name","species","temp","rep","date_N_assay","date_N_extraction","raw_abs_entry","abs","nitrate","notes"
"1","05CH1","CH",5,1,"04-Jan-16",NA,26,0.026,5.77752086458773,NA
"2","08CH1","CH",8,1,"04-Jan-16",NA,16,0.016,3.85033208558486,NA
"3","16CH1","CH",16,1,"04-Jan-16",NA,10,0.01,2.69401881818314,NA
"4","24CH1","CH",24,1,"04-Jan-16",NA,14,0.014,3.46489432978429,NA
"5","32CH1","CH",32,1,"04-Jan-16",NA,10,0.01,2.69401881818314,NA
"6","38CH1","CH",38,1,"04-Jan-16",NA,56,0.056,11.5590872015963,NA
"7","05TT1","TT",5,1,"04-Jan-16",NA,20,0.02,4.62120759718601,NA
"8","08TT1","TT",8,1,"04-Jan-16",NA,10,0.01,2.69401881818314,NA
"9","16TT1","TT",16,1,"04-Jan-16",NA,10,0.01,2.69401881818314,NA
"10","24TT1","TT",24,1,"04-Jan-16",NA,12,0.012,3.07945657398372,NA
"11","32TT1","TT",32,1,"04-Jan-16",NA,27,0.027,5.97023974248802,NA
"12","38TT1","TT",38,1,"04-Jan-16",NA,38,0.038,8.09014739939118,NA
"13","05CH2","CH",5,2,"04-Jan-16",NA,9,0.009,2.50129994028286,NA
"14","08CH2","CH",8,2,"04-Jan-16",NA,10,0.01,2.69401881818314,NA
"15","16CH2","CH",16,2,"04-Jan-16",NA,11,0.011,2.88673769608343,NA
"16","24CH2","CH",24,2,"04-Jan-16",NA,4,0.004,1.53770555078142,NA
"17","32CH2","CH",32,2,"04-Jan-16",NA,4,0.004,1.53770555078142,NA
"18","38CH2","CH",38,2,"04-Jan-16",NA,57,0.057,11.7518060794966,NA
"19","05TT2","TT",5,2,"04-Jan-16",NA,5,0.005,1.73042442868171,NA
"20","08TT2","TT",8,2,"04-Jan-16",NA,28,0.028,6.16295862038831,NA
"21","16TT2","TT",16,2,"04-Jan-16",NA,12,0.012,3.07945657398372,NA
"22","24TT2","TT",24,2,"04-Jan-16",NA,17,0.017,4.04305096348515,NA
"23","32TT2","TT",32,2,"04-Jan-16",NA,18,0.018,4.23576984138544,NA
"24","38TT2","TT",38,2,"04-Jan-16",NA,45,0.045,9.43917954469319,NA
"25","05CH3","CH",5,3,"04-Jan-16",NA,26,0.026,5.77752086458773,NA
"26","08CH3","CH",8,3,"04-Jan-16",NA,8,0.008,2.30858106238257,NA
"27","16CH3","CH",16,3,"04-Jan-16",NA,2,0.002,1.15226779498085,NA
"28","24CH3","CH",24,3,"04-Jan-16",NA,7,0.007,2.11586218448228,NA
"29","32CH3","CH",32,3,"04-Jan-16",NA,9,0.009,2.50129994028286,NA
"30","38CH3","CH",38,3,"04-Jan-16",NA,59,0.059,12.1372438352972,NA
"31","05TT3","TT",5,3,"04-Jan-16",NA,19,0.019,4.42848871928572,NA
"32","08TT3","TT",8,3,"04-Jan-16",NA,-1,-0.001,0.574111161279986,NA
"33","16TT3","TT",16,3,"04-Jan-16",NA,16,0.016,3.85033208558486,NA
"34","24TT3","TT",24,3,"04-Jan-16",NA,10,0.01,2.69401881818314,NA
"35","32TT3","TT",32,3,"04-Jan-16",NA,17,0.017,4.04305096348515,NA
"36","38TT3","TT",38,3,"04-Jan-16",NA,64,0.064,13.1008382247986,NA
"37","05CH4","CH",5,4,"04-Jan-16",NA,33,0.033,7.12655300988974,NA
"38","08CH4","CH",8,4,"04-Jan-16",NA,7,0.007,2.11586218448228,NA
"39","16CH4","CH",16,4,"04-Jan-16",NA,9,0.009,2.50129994028286,NA
"40","24CH4","CH",24,4,"04-Jan-16",NA,15,0.015,3.65761320768458,NA
"41","32CH4","CH",32,4,"04-Jan-16",NA,27,0.027,5.97023974248802,NA
"42","38CH4","CH",38,4,"04-Jan-16",NA,72,0.072,14.6425892480009,NA
"43","05TT4","TT",5,4,"04-Jan-16",NA,14,0.014,3.46489432978429,NA
"44","08TT4","TT",8,4,"04-Jan-16",NA,25,0.025,5.58480198668745,NA
"45","16TT4","TT",16,4,"04-Jan-16",NA,18,0.018,4.23576984138544,NA
"46","24TT4","TT",24,4,"04-Jan-16",NA,17,0.017,4.04305096348515,NA
"47","32TT4","TT",32,4,"04-Jan-16",NA,26,0.026,5.77752086458773,NA
"48","38TT4","TT",38,4,"04-Jan-16",NA,63,0.063,12.9081193468984,NA
"49","05CH5","CH",5,5,"04-Jan-16",NA,13,0.013,3.272175451884,NA
"50","08CH5","CH",8,5,"04-Jan-16",NA,19,0.019,4.42848871928572,NA
"51","16CH5","CH",16,5,"04-Jan-16",NA,22,0.022,5.00664535298659,NA
"52","24CH5","CH",24,5,"04-Jan-16",NA,5,0.005,1.73042442868171,NA
"53","32CH5","CH",32,5,"04-Jan-16",NA,23,0.023,5.19936423088687,NA
"54","38CH5","CH",38,5,"04-Jan-16",NA,43,0.043,9.05374178889261,NA
"55","05TT5","TT",5,5,"04-Jan-16",NA,23,0.023,5.19936423088687,NA
"56","08TT5","TT",8,5,"04-Jan-16",NA,16,0.016,3.85033208558486,NA
"57","16TT5","TT",16,5,"04-Jan-16",NA,13,0.013,3.272175451884,NA
"58","24TT5","TT",24,5,"04-Jan-16",NA,31,0.031,6.74111525408917,NA
"59","32TT5","TT",32,5,"04-Jan-16",NA,25,0.025,5.58480198668745,NA
"60","38TT5","TT",38,5,"04-Jan-16",NA,47,0.047,9.82461730049376,NA
