ID,r,K
16_1,0.3380113253251495,19350013.494000193
16_2,0.2994415797124078,18433404.833617546
16_3,0.37795691904662876,17393811.2174651
16_4,0.38128805099618707,17078185.960909706
16_5,0.38052690832648806,16004904.919006066
25_1,0.21859349673526993,9494446.829107698
25_2,0.13188831129888454,11217403.346433064
25_3,0.18940839404341497,10178265.954574792
25_4,0.213320740274873,11010107.293275638
25_5,0.34678009420479255,9573006.941570904
32_1,0.1192245631779087,5623125.26749133
32_2,0.1273583787370256,6571736.460186841
32_3,0.3995852170528954,5823020.888087407
32_4,0.3510634990328642,5427697.680129642
32_5,0.16689803985783577,4907997.357312758
38_1,0.09599737081209185,3032055.967605973
38_2,0.029865110837831197,96503134.74063425
38_3,0.10045861858632905,4786016.810448202
38_4,0.5514150297623941,2859851.471916246
38_5,0.5655842858364952,2387641.993237461
5_1,1.5258825474284288,16160575.81752798
5_2,0.11932196310015543,29379911.471781105
5_3,0.11835602783589001,26602569.983228635
5_4,0.13708218266407135,29371156.6599738
5_5,0.1372019502169213,24312063.83034951
8_1,0.1833356909702923,21763813.555944793
8_2,0.21299038593173023,22821488.83927583
8_3,0.1510692050447222,24549448.362302195
8_4,0.17576964813754362,21450251.002026714
8_5,0.22331251905166558,19683560.235153753
