file_name,temperature,species,rep,cell_density,start_time,cell_volume,start.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours,total_biovolume
dec1/05TT1_copy/summary_export,5,TT,1,14737,2016-12-01  19:08:09,1197.9,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-01 19:08:09 UTC,34.557233796296295,829.3736111111111,17653452.3
dec1/05TT2_copy/summary_export,5,TT,2,15755,2016-12-01  19:14:28,1202.57,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-01 19:14:28 UTC,34.56162037037037,829.4788888888888,18946490.349999998
dec1/05TT3_copy/summary_export,5,TT,3,15376,2016-12-01  19:11:23,1264.46,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-01 19:11:23 UTC,34.55947916666667,829.4275,19442336.96
dec1/05TT4_copy/summary_export,5,TT,4,18208,2016-12-01  19:12:50,1215.53,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-01 19:12:50 UTC,34.56048611111111,829.4516666666667,22132370.24
dec1/05TT5_copy/summary_export,5,TT,5,17463,2016-12-01  19:16:42,1111.38,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-01 19:16:42 UTC,34.5631712962963,829.5161111111111,19408028.94
dec1/08TT1_copy/summary_export,8,TT,1,19353,2016-12-01  19:27:05,1125.81,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-01 19:27:05 UTC,34.57038194444444,829.6891666666667,21787800.93
dec1/08TT2_copy/summary_export,8,TT,2,22264,2016-12-01  19:24:33,1059.73,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-01 19:24:33 UTC,34.56862268518518,829.6469444444444,23593828.72
dec1/08TT3_copy/summary_export,8,TT,3,18558,2016-12-01  19:22:40,1049.7,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-01 19:22:40 UTC,34.567314814814814,829.6155555555556,19480332.6
dec1/08TT4_copy/summary_export,8,TT,4,17701,2016-12-01  19:20:13,1113.1,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-01 19:20:13 UTC,34.565613425925925,829.5747222222222,19702983.099999998
dec1/08TT5_copy/summary_export,8,TT,5,17392,2016-12-01  19:18:45,1028.06,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-01 19:18:45 UTC,34.564594907407404,829.5502777777778,17880019.52
dec1/16TT1_copy/summary_export,16,TT,1,20883,2016-12-01  19:28:37,971.05,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-01 19:28:37 UTC,34.57144675925926,829.7147222222222,20278437.15
dec1/16TT2_copy/summary_export,16,TT,2,16596,2016-12-01  19:30:03,1034.98,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-01 19:30:03 UTC,34.57244212962963,829.7386111111111,17176528.080000002
dec1/16TT3_copy/summary_export,16,TT,3,18956,2016-12-01  19:31:31,1054.16,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-01 19:31:31 UTC,34.57346064814815,829.7630555555555,19982656.96
dec1/16TT4_copy/summary_export,16,TT,4,20005,2016-12-01  19:35:46,1156.72,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-01 19:35:46 UTC,34.57641203703704,829.8338888888889,23140183.6
dec1/16TT5_copy/summary_export,16,TT,5,18257,2016-12-01  19:34:17,1157.49,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-01 19:34:17 UTC,34.575381944444445,829.8091666666667,21132294.93
dec1/25TT1_copy/summary_export,25,TT,1,12762,2016-12-01  19:00:39,914.47,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-01 19:00:39 UTC,34.552025462962966,829.2486111111111,11670466.14
dec1/25TT2_copy/summary_export,25,TT,2,13896,2016-12-01  19:02:05,1222.13,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-01 19:02:05 UTC,34.553020833333335,829.2725,16982718.48
dec1/25TT3_copy/summary_export,25,TT,3,14076,2016-12-01  19:03:33,1004.23,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-01 19:03:33 UTC,34.55403935185185,829.2969444444444,14135541.48
dec1/25TT4_copy/summary_export,25,TT,4,13719,2016-12-01  19:05:00,1184.6,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-01 19:05:00 UTC,34.5550462962963,829.3211111111111,16251527.399999999
dec1/25TT5_copy/summary_export,25,TT,5,12874,2016-12-01  19:06:43,1078.88,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-01 19:06:43 UTC,34.556238425925926,829.3497222222222,13889501.120000001
dec2/32TT1_copy/summary_export,32,TT,1,2430,2016-12-02  15:51:59,1979.32,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-02 15:51:59 UTC,35.42100694444444,850.1041666666666,4809747.6
dec2/32TT2_copy/summary_export,32,TT,2,4949,2016-12-02  15:54:11,1308.24,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-02 15:54:11 UTC,35.422534722222224,850.1408333333334,6474479.76
dec2/32TT3_copy/summary_export,32,TT,3,3587,2016-12-02  15:55:41,1650.31,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-02 15:55:41 UTC,35.42357638888889,850.1658333333334,5919661.97
dec2/32TT4_copy/summary_export,32,TT,4,3932,2016-12-02  15:57:03,1590.16,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-02 15:57:03 UTC,35.42452546296296,850.1886111111111,6252509.12
dec2/32TT5_R2_copy/summary_export,32,TT,5,4909,2016-12-02  16:00:05,1227.3,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-02 16:00:05 UTC,35.426631944444445,850.2391666666666,6024815.7
dec6/05TT1_copy/summary_export,5,TT,1,19474,2016-12-06  19:37:02,980.82,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-06 19:37:02 UTC,39.57729166666667,949.855,19100488.68
dec6/05TT2_copy/summary_export,5,TT,2,18467,2016-12-06  19:34:55,1043.45,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-06 19:34:55 UTC,39.575821759259256,949.8197222222223,19269391.150000002
dec6/05TT3_copy/summary_export,5,TT,3,20106,2016-12-06  19:38:32,951.1,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-06 19:38:32 UTC,39.57833333333333,949.88,19122816.6
dec6/05TT4_copy/summary_export,5,TT,4,26825,2016-12-06  19:39:53,982.56,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-06 19:39:53 UTC,39.57927083333333,949.9025,26357172
dec6/05TT5_copy/summary_export,5,TT,5,16642,2016-12-06  19:41:24,927.9,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-12-06 19:41:24 UTC,39.58032407407408,949.9277777777778,15442111.799999999
