REPLICATE,1.00,2.00,average,rep1,rep2,rep3,date_of_measurement,concentration of the standard,fluorescence of the blank,fluorescence of the standard,volume of solvent,volume of water,chla-calc,,,
BLANK,4.66,4.46,4.56,4.46,4.28,4.29,2017/01/05,19.7,1.5,134.4,8,2,1.814356659,,,
05CH1,45.34,45.07,45.21,,,,2017/01/05,19.7,1.5,134.4,8,2,25.91387509,,,
05CH2,43.38,43.27,43.33,,,,2017/01/05,19.7,1.5,134.4,8,2,24.79917231,,,
05CH3,46.96,46.84,46.90,,,,2017/01/05,19.7,1.5,134.4,8,2,26.91888638,,,
05CH4,11.11,11.26,11.19,,,,2017/01/05,19.7,1.5,134.4,8,2,5.742498119,,,
05CH5,47.86,47.55,47.71,47.04,47.08,,2017/01/05,19.7,1.5,134.4,8,2,27.39619263,,,
08CH1,44.25,44.13,44.19,,,,2017/01/05,19.7,1.5,134.4,8,2,25.31205418,,,
08CH2,24.52,24.05,24.29,28.89,29.12,,2017/01/05,19.7,1.5,134.4,8,2,13.50984199,,,
08CH3,44.64,44.42,44.53,43.85,44,,2017/01/05,19.7,1.5,134.4,8,2,25.51364936,,0,1.5
08CH4,59.53,59.59,59.56,,,,2017/01/05,19.7,1.5,134.4,8,2,34.42534236,,19.7,134.4
08CH5,52.15,52.61,52.38,,,,2017/01/05,19.7,1.5,134.4,8,2,30.16812641,,214,1419.1
16CH1,36.71,36.85,36.78,,,,2017/01/05,19.7,1.5,134.4,8,2,20.91846501,,,
16CH2,48.15,47.84,48.00,51.12,51.16,,2017/01/05,19.7,1.5,134.4,8,2,27.56814146,,,
16CH3,40.04,39.79,39.92,,,,2017/01/05,19.7,1.5,134.4,8,2,22.7772912,,,
16CH4,36.02,35.10,35.56,,,,2017/01/05,19.7,1.5,134.4,8,2,20.19509406,,,
16CH5,24.46,24.17,24.32,,,,2017/01/05,19.7,1.5,134.4,8,2,13.5276298,,,
25CH1,20.74,20.80,20.77,,,,2017/01/05,19.7,1.5,134.4,8,2,11.42570354,,,
25CH2,21.26,21.06,21.16,,,,2017/01/05,19.7,1.5,134.4,8,2,11.65694507,,,
25CH3,18.16,18.43,18.30,,,,2017/01/05,19.7,1.5,134.4,8,2,9.95820918,,,
25CH4,26.55,26.81,26.68,24.57,24.59,,2017/01/05,19.7,1.5,134.4,8,2,14.92990218,,,
25CH5,18.69,19.02,18.86,,,,2017/01/05,19.7,1.5,134.4,8,2,10.29024831,,,
32CH1,7.04,6.97,7.01,,,,2017/01/05,19.7,1.5,134.4,8,2,3.264063205,,,
32CH2,6.66,6.70,6.68,,,,2017/01/05,19.7,1.5,134.4,8,2,3.071361926,,,
32CH3,7.72,7.94,7.83,,,,2017/01/05,19.7,1.5,134.4,8,2,3.753227991,,,
32CH4,6.75,6.77,6.76,,,,2017/01/05,19.7,1.5,134.4,8,2,3.118796087,,,
32CH5,7.02,7.13,7.08,,,,2017/01/05,19.7,1.5,134.4,8,2,3.305568096,,,
38CH1,6.60,6.18,6.39,,,,2017/01/05,19.7,1.5,134.4,8,2,2.899413093,,,
38CH2,5.28,5.32,5.30,,,,2017/01/05,19.7,1.5,134.4,8,2,2.253122649,,,
38CH3,5.43,5.41,5.42,,,,2017/01/05,19.7,1.5,134.4,8,2,2.32427389,,,
38CH4,5.39,5.43,5.41,,,,2017/01/05,19.7,1.5,134.4,8,2,2.31834462,,,
38CH5,5.01,4.99,5.00,6.86,6.85,,2017/01/05,19.7,1.5,134.4,8,2,2.075244545,,,
05TT1,29.06,30.27,29.67,13.77,14.12,,2017/01/05,19.7,1.5,134.4,8,2,16.69978932,,,
05TT2,25.21,25.71,25.46,,,,2017/01/05,19.7,1.5,134.4,8,2,14.20653123,,,
05TT3,43.27,43.70,43.49,,,,2017/01/05,19.7,1.5,134.4,8,2,24.89404063,,,
05TT4,30.10,28.64,29.37,,,,2017/01/05,19.7,1.5,134.4,8,2,16.52487585,,,
05TT5,24.09,23.80,23.95,31.92,30.94,,2017/01/05,19.7,1.5,134.4,8,2,13.3082468,,,
08TT1,22.76,23.58,23.17,21.57,21.99,,2017/01/05,19.7,1.5,134.4,8,2,12.84872837,,,
08TT2,22.01,22.17,22.09,,,,2017/01/05,19.7,1.5,134.4,8,2,12.20836719,,,
08TT3,43.27,42.94,43.11,41.07,40.07,,2017/01/05,19.7,1.5,134.4,8,2,24.66872837,,,
