List File,32CR2_R5.lst
Start Time,2016-12-01  11:47:00
Sampling Time,49 sec

Count,910
Particles / ml,43129

Efficiency,8.5%
PPUI,1.92

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),59.71,20.22,301.27,20.71,34.68
Aspect Ratio,0.84,0.30,1.00,0.11,12.84
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.76,0.11,0.95,0.14,17.95
Circularity (Hu),0.93,0.17,1.00,0.10,10.85
Compactness,1.71,1.00,10.58,0.88,51.63
Diameter (ABD),8.61,5.07,19.59,1.39,16.11
Diameter (ESD),9.99,5.60,23.87,1.92,19.19
Elongation,2.96,1.00,31.20,2.90,98.02
Geodesic Aspect Ratio,0.57,0.03,1.00,0.33,59.11
Geodesic Length,15.78,6.16,59.85,7.80,49.45
Geodesic Thickness,6.77,1.59,12.73,1.95,28.86
Image Height,32.30,22.00,56.00,4.02,12.43
Image Width,32.23,22.00,63.00,3.94,12.22
Intensity,135.43,88.38,214.38,18.04,13.32
Length,11.22,5.82,29.48,2.39,21.29
Perimeter,45.10,24.66,124.84,12.98,28.79
Roughness,1.21,1.03,2.07,0.17,14.22
Sigma Intensity,31.85,3.30,49.61,8.83,27.73
Sum Intensity,43990.97,20115.00,2.09e+005,15339.55,34.87
Transparency,0.13,0.03,0.61,0.07,55.27
Volume (ABD),361.49,68.37,3933.59,216.22,59.81
Width,8.51,4.07,17.60,1.53,18.02

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,2,0.22,0.04,95,0.01
6-7um,11,1.21,0.34,521,0.08
7-8um,88,9.67,3.82,4171,0.96
8-9um,193,21.21,11.97,9147,3.02
0-5um,0,0.00,0.00,0.00,0.00
5-10um,525,57.69,35.27,24882,8.89
10-15um,368,40.44,56.34,17441,14
15-20um,16,1.76,7.05,758,1.78
20-25um,1,0.11,1.34,47,0.34
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,225,24.73,18.76,10664,4.73
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

