List File,32CR_R5.lst
Start Time,2016-12-01  11:44:30
Sampling Time,1 sec

Count,57
Particles / ml,106187

Efficiency,15.2%
PPUI,3.80

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),52.89,25.22,119.75,20.13,38.06
Aspect Ratio,0.80,0.38,0.98,0.12,14.79
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.72,0.30,0.91,0.13,17.52
Circularity (Hu),0.89,0.21,0.99,0.14,16.08
Compactness,2.06,1.07,6.83,1.44,69.68
Diameter (ABD),8.09,5.67,12.35,1.38,17.10
Diameter (ESD),9.88,7.13,16.05,2.17,21.99
Elongation,4.05,1.00,19.39,4.66,115.08
Geodesic Aspect Ratio,0.45,0.05,1.00,0.26,58.46
Geodesic Length,17.48,7.78,53.13,10.87,62.15
Geodesic Thickness,5.87,1.70,9.74,1.77,30.10
Image Height,31.49,26.00,46.00,4.49,14.25
Image Width,32.74,28.00,47.00,5.05,15.43
Intensity,160.30,105.81,208.26,30.11,18.78
Length,11.42,8.03,18.14,2.56,22.45
Perimeter,46.71,31.10,111.90,19.33,41.39
Roughness,1.24,1.06,2.04,0.24,19.12
Sigma Intensity,17.07,2.68,47.87,16.60,97.26
Sum Intensity,46939.07,23875.00,92690.00,15872.86,33.82
Transparency,0.17,0.05,0.60,0.09,56.56
Volume (ABD),303.46,95.30,985.76,192.92,63.57
Width,7.93,5.88,15.04,1.72,21.75

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,1,1.75,0.57,1863,0.35
8-9um,21,36.84,20.39,39121,13
0-5um,0,0.00,0.00,0.00,0.00
5-10um,45,78.95,51.43,83832,32
10-15um,8,14.04,23.66,14903,15
15-20um,4,7.02,24.91,7452,16
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,23,40.35,30.47,42847,19
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

