List File,38CR1_R2.lst
Start Time,2016-12-01  12:00:19
Sampling Time,49 sec

Count,5
Particles / ml,235

Efficiency,8.6%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),65.06,53.34,85.41,12.40,19.06
Aspect Ratio,0.79,0.71,0.90,0.09,11.39
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.72,0.48,0.90,0.15,20.97
Circularity (Hu),0.91,0.80,0.99,0.07,7.60
Compactness,1.69,1.09,2.91,0.71,41.87
Diameter (ABD),9.07,8.24,10.43,0.84,9.27
Diameter (ESD),10.58,9.64,13.42,1.62,15.27
Elongation,2.90,1.00,6.99,2.36,81.37
Geodesic Aspect Ratio,0.51,0.14,1.00,0.32,61.56
Geodesic Length,16.86,9.58,31.16,8.33,49.40
Geodesic Thickness,6.88,4.46,9.58,1.89,27.49
Image Height,34.60,31.00,41.00,3.91,11.30
Image Width,32.20,29.00,34.00,2.17,6.73
Intensity,135.40,106.25,160.34,19.81,14.63
Length,11.80,10.24,15.39,2.08,17.62
Perimeter,47.49,38.32,71.23,13.45,28.31
Roughness,1.30,1.06,1.73,0.26,19.67
Sigma Intensity,39.03,23.43,48.84,9.49,24.32
Sum Intensity,47115.20,37292.00,68788.00,12813.86,27.20
Transparency,0.14,0.05,0.22,0.06,46.49
Volume (ABD),399.01,293.06,593.80,117.14,29.36
Width,8.94,8.01,10.78,1.11,12.39

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,3,60.00,43.64,141,0.07
10-15um,2,40.00,56.36,94,0.09
15-20um,0,0.00,0.00,0.00,0.00
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,3,60.00,43.64,141,0.07
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

