List File,16SO3_R3.lst
Start Time,2016-12-08  10:54:31
Sampling Time,45 sec

Count,108
Particles / ml,5583

Efficiency,8.7%
PPUI,1.09

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),114.02,21.24,540.37,81.21,71.22
Aspect Ratio,0.74,0.07,0.95,0.13,17.78
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.67,0.00,0.87,0.13,20.11
Circularity (Hu),0.89,0.11,0.98,0.10,11.18
Compactness,1.98,1.15,14.03,1.32,66.84
Diameter (ABD),11.45,5.20,26.23,3.77,32.94
Diameter (ESD),13.94,5.84,82.48,7.84,56.27
Elongation,3.84,1.00,42.07,4.24,110.48
Geodesic Aspect Ratio,0.37,0.02,1.00,0.21,55.51
Geodesic Length,24.01,6.56,167.08,17.27,71.94
Geodesic Thickness,7.11,2.61,14.31,2.12,29.76
Image Height,38.91,26.00,83.00,9.52,24.47
Image Width,40.18,24.00,237.00,20.75,51.64
Intensity,153.38,105.05,177.65,14.78,9.63
Length,16.63,6.52,128.71,12.03,72.37
Perimeter,62.23,26.22,342.10,34.21,54.98
Roughness,1.29,1.07,2.14,0.21,15.92
Sigma Intensity,40.28,15.36,55.06,8.10,20.11
Sum Intensity,83939.15,20281.00,3.55e+005,52804.77,62.91
Transparency,0.15,0.07,0.68,0.07,43.48
Volume (ABD),1068.09,73.66,9449.29,1268.86,118.80
Width,10.59,4.63,19.47,3.23,30.53

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.93,0.02,52,0.01
6-7um,4,3.70,0.14,207,0.03
7-8um,2,1.85,0.10,103,0.02
8-9um,7,6.48,0.49,362,0.12
0-5um,0,0.00,0.00,0.00,0.00
5-10um,18,16.67,1.14,931,0.27
10-15um,60,55.56,12.67,3102,3.06
15-20um,21,19.44,12.02,1086,2.90
20-25um,7,6.48,9.30,362,2.25
25-30um,1,0.93,2.00,52,0.48
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,1,0.93,62.87,52,15
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,4,3.70,0.38,207,0.09
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

