List File,343-102134.lst
Start Time,2016-12-08  10:21:56
Sampling Time,49 sec

Count,67
Particles / ml,3160

Efficiency,8.5%
PPUI,1.06

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),60.89,20.22,231.07,38.08,62.54
Aspect Ratio,0.74,0.23,0.98,0.16,22.10
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.68,0.22,0.87,0.15,21.85
Circularity (Hu),0.86,0.34,0.98,0.13,15.08
Compactness,1.91,1.12,5.53,0.82,43.11
Diameter (ABD),8.47,5.07,17.15,2.43,28.70
Diameter (ESD),10.37,5.81,20.00,3.02,29.07
Elongation,3.56,1.00,15.30,2.78,77.97
Geodesic Aspect Ratio,0.46,0.07,1.00,0.30,66.22
Geodesic Length,17.57,6.41,42.59,8.21,46.70
Geodesic Thickness,6.07,1.96,10.70,1.97,32.37
Image Height,31.04,21.00,52.00,5.26,16.95
Image Width,34.88,24.00,62.00,7.50,21.50
Intensity,149.63,102.08,179.35,16.37,10.94
Length,12.41,6.48,26.38,4.10,33.02
Perimeter,47.30,25.63,99.53,15.11,31.94
Roughness,1.26,1.06,1.72,0.17,13.86
Sigma Intensity,34.87,5.77,50.36,9.81,28.13
Sum Intensity,48037.70,19533.00,1.38e+005,22207.44,46.23
Transparency,0.18,0.07,0.51,0.09,48.74
Volume (ABD),403.64,68.37,2642.25,418.32,103.64
Width,8.08,3.59,15.81,2.33,28.81

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,1.49,0.21,47,0.00
6-7um,3,4.48,0.97,141,0.02
7-8um,9,13.43,4.17,424,0.10
8-9um,11,16.42,7.03,519,0.17
0-5um,0,0.00,0.00,0.00,0.00
5-10um,36,53.73,21.97,1698,0.52
10-15um,24,35.82,40.57,1132,0.96
15-20um,6,8.96,29.07,283,0.68
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,8,11.94,7.78,377,0.18
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

