List File,08CR1.lst
Start Time,2016-12-09  15:18:18
Sampling Time,53 sec

Count,25
Particles / ml,1082

Efficiency,8.6%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),93.97,24.59,519.47,93.24,99.22
Aspect Ratio,0.84,0.60,0.96,0.10,12.49
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.77,0.54,0.93,0.11,14.12
Circularity (Hu),0.94,0.75,1.00,0.06,6.20
Compactness,1.52,1.05,2.38,0.36,23.48
Diameter (ABD),10.29,5.60,25.72,3.78,36.72
Diameter (ESD),11.68,6.72,29.25,4.24,36.33
Elongation,2.32,1.00,5.28,1.23,53.03
Geodesic Aspect Ratio,0.55,0.19,1.00,0.27,48.87
Geodesic Length,16.88,7.78,48.11,8.51,50.44
Geodesic Thickness,7.89,3.86,13.11,2.25,28.48
Image Height,35.40,26.00,61.00,7.06,19.94
Image Width,35.40,26.00,75.00,9.09,25.67
Intensity,120.93,88.34,156.19,20.15,16.66
Length,13.13,7.45,33.68,4.93,37.56
Perimeter,49.54,30.97,122.44,18.28,36.90
Roughness,1.16,1.05,1.41,0.09,7.88
Sigma Intensity,36.88,17.08,55.94,10.52,28.53
Sum Intensity,54275.24,21292.00,2.23e+005,39362.40,72.52
Transparency,0.12,0.03,0.26,0.06,47.63
Volume (ABD),863.62,91.72,8906.38,1698.79,196.71
Width,10.00,5.68,25.67,3.90,39.05

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,2,8.00,1.05,87,0.01
7-8um,1,4.00,0.72,43,0.01
8-9um,1,4.00,1.00,43,0.01
0-5um,0,0.00,0.00,0.00,0.00
5-10um,6,24.00,5.74,260,0.08
10-15um,18,72.00,52.57,779,0.72
15-20um,0,0.00,0.00,0.00,0.00
20-25um,0,0.00,0.00,0.00,0.00
25-30um,1,4.00,41.68,43,0.57
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,2,8.00,2.97,87,0.04
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

