List File,32CR1_C5.lst
Start Time,2016-12-09  14:05:24
Sampling Time,41 sec

Count,348
Particles / ml,19583

Efficiency,8.6%
PPUI,1.40

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),61.25,19.81,189.19,25.37,41.43
Aspect Ratio,0.85,0.41,1.00,0.09,10.41
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.78,0.30,0.95,0.09,12.13
Circularity (Hu),0.95,0.45,1.00,0.05,5.73
Compactness,1.53,1.00,6.64,0.54,35.19
Diameter (ABD),8.66,5.02,15.52,1.75,20.23
Diameter (ESD),9.88,5.38,17.54,2.09,21.13
Elongation,2.34,1.00,18.80,1.81,77.25
Geodesic Aspect Ratio,0.59,0.05,1.00,0.30,49.74
Geodesic Length,14.51,6.02,53.16,6.13,42.24
Geodesic Thickness,7.14,2.47,12.22,1.86,26.05
Image Height,32.37,23.00,51.00,4.39,13.58
Image Width,31.93,23.00,47.00,4.05,12.67
Intensity,132.88,87.74,191.35,16.82,12.66
Length,11.06,5.76,20.41,2.42,21.87
Perimeter,43.31,24.07,112.87,10.96,25.31
Roughness,1.19,1.03,1.98,0.13,11.10
Sigma Intensity,37.13,17.93,54.02,7.60,20.46
Sum Intensity,43884.69,16459.00,1.04e+005,16793.26,38.27
Transparency,0.12,0.03,0.41,0.05,40.62
Volume (ABD),382.71,66.31,1957.61,246.78,64.48
Width,8.51,4.70,14.99,1.85,21.76

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,3,0.86,0.14,169,0.02
6-7um,17,4.89,1.24,957,0.14
7-8um,42,12.07,4.82,2363,0.54
8-9um,60,17.24,9.61,3376,1.08
0-5um,0,0.00,0.00,0.00,0.00
5-10um,196,56.32,32.18,11029,3.61
10-15um,145,41.67,62.30,8159,7.00
15-20um,4,1.15,4.99,225,0.56
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,74,21.26,16.38,4164,1.84
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

