List File,05SO1_C3.lst
Start Time,2016-12-12  14:53:43
Sampling Time,48 sec

Count,54
Particles / ml,2608

Efficiency,8.6%
PPUI,1.13

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),106.00,20.01,658.30,99.64,94.00
Aspect Ratio,0.74,0.31,0.98,0.16,22.30
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.63,0.03,0.91,0.19,30.03
Circularity (Hu),0.85,0.38,0.99,0.14,16.45
Compactness,2.23,1.04,7.95,1.21,54.19
Diameter (ABD),10.88,5.05,28.95,4.11,37.80
Diameter (ESD),13.38,5.96,41.52,5.62,42.02
Elongation,4.65,1.00,22.93,3.95,84.85
Geodesic Aspect Ratio,0.36,0.04,1.00,0.25,70.25
Geodesic Length,24.85,6.49,86.78,15.60,62.79
Geodesic Thickness,6.52,1.92,10.44,2.14,32.84
Image Height,37.28,23.00,102.00,11.67,31.32
Image Width,39.59,25.00,75.00,10.13,25.58
Intensity,153.22,103.54,180.23,16.87,11.01
Length,15.83,6.66,54.29,7.44,46.99
Perimeter,62.74,25.95,191.57,30.65,48.85
Roughness,1.35,1.06,2.49,0.26,19.07
Sigma Intensity,38.57,13.09,53.04,9.20,23.84
Sum Intensity,75771.52,25785.00,3.29e+005,53101.05,70.08
Transparency,0.18,0.06,0.50,0.09,50.03
Volume (ABD),1028.19,67.34,12705.71,1839.70,178.93
Width,10.41,4.29,24.30,3.70,35.57

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,1.85,0.10,48,0.01
6-7um,0,0.00,0.00,0.00,0.00
7-8um,1,1.85,0.21,48,0.01
8-9um,2,3.70,0.60,97,0.03
0-5um,0,0.00,0.00,0.00,0.00
5-10um,11,20.37,3.42,531,0.19
10-15um,33,61.11,27.86,1594,1.57
15-20um,3,5.56,6.63,145,0.37
20-25um,6,11.11,29.86,290,1.68
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,1,1.85,32.24,48,1.81
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,7,12.96,2.51,338,0.14
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

