List File,05SO4.lst
Start Time,2016-12-12  14:59:59
Sampling Time,52 sec

Count,39
Particles / ml,1723

Efficiency,8.6%
PPUI,1.05

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),76.43,24.38,333.60,49.17,64.34
Aspect Ratio,0.81,0.44,0.96,0.10,12.94
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.68,0.20,0.87,0.15,22.19
Circularity (Hu),0.87,0.41,0.98,0.13,15.16
Compactness,2.46,1.14,8.23,1.63,66.31
Diameter (ABD),9.55,5.57,20.61,2.49,26.01
Diameter (ESD),11.79,7.06,31.31,3.75,31.80
Elongation,5.44,1.00,23.82,5.26,96.71
Geodesic Aspect Ratio,0.32,0.04,1.00,0.21,67.03
Geodesic Length,23.41,7.63,90.83,13.78,58.87
Geodesic Thickness,5.69,1.80,8.88,1.88,33.02
Image Height,34.74,26.00,66.00,6.71,19.30
Image Width,36.67,27.00,75.00,7.61,20.75
Intensity,151.68,104.16,179.82,17.69,11.66
Length,13.45,7.73,36.42,4.52,33.63
Perimeter,58.18,30.51,191.38,25.96,44.62
Roughness,1.41,1.07,2.19,0.27,18.87
Sigma Intensity,36.91,24.89,48.70,7.09,19.22
Sum Intensity,58458.90,27617.00,2.10e+005,29091.40,49.76
Transparency,0.18,0.08,0.41,0.08,46.82
Volume (ABD),564.12,90.54,4583.63,706.85,125.30
Width,9.90,6.25,23.77,2.73,27.60

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,2,5.13,0.80,88,0.02
8-9um,3,7.69,2.22,133,0.05
0-5um,0,0.00,0.00,0.00,0.00
5-10um,9,23.08,6.89,398,0.14
10-15um,27,69.23,49.58,1193,1.03
15-20um,2,5.13,9.47,88,0.20
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,1,2.56,34.06,44,0.71
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,4,10.26,3.86,177,0.08
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

