List File,16SO3.lst
Start Time,2016-12-16  15:54:31
Sampling Time,1 min 0 sec

Count,2533
Particles / ml,98197

Efficiency,8.5%
PPUI,3.67

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),103.30,19.60,545.95,54.22,52.49
Aspect Ratio,0.75,0.15,1.00,0.19,25.18
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.64,0.01,0.94,0.18,28.10
Circularity (Hu),0.85,0.13,1.00,0.18,20.75
Compactness,2.20,1.01,8.84,1.10,49.93
Diameter (ABD),11.09,5.00,26.37,2.94,26.48
Diameter (ESD),13.50,5.61,32.75,3.31,24.52
Elongation,4.58,1.00,25.75,3.60,78.57
Geodesic Aspect Ratio,0.35,0.04,1.00,0.23,66.28
Geodesic Length,24.64,6.25,87.36,11.71,47.52
Geodesic Thickness,6.60,1.40,15.50,2.08,31.57
Image Height,36.19,17.00,82.00,7.00,19.35
Image Width,40.69,21.00,70.00,7.52,18.48
Intensity,160.54,91.95,218.72,19.23,11.98
Length,15.97,6.03,43.04,4.15,25.97
Perimeter,62.49,24.98,189.69,22.06,35.30
Roughness,1.31,1.04,2.40,0.24,18.67
Sigma Intensity,38.72,2.97,56.09,11.63,30.05
Sum Intensity,79234.52,14915.00,3.06e+005,35310.25,44.56
Transparency,0.17,0.05,0.67,0.11,61.62
Volume (ABD),867.71,65.29,9596.02,710.16,81.84
Width,10.45,1.93,27.93,3.25,31.06

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,3,0.12,0.01,116,0.01
6-7um,11,0.43,0.04,426,0.06
7-8um,39,1.54,0.24,1512,0.35
8-9um,105,4.15,0.88,4071,1.32
0-5um,0,0.00,0.00,0.00,0.00
5-10um,367,14.49,3.60,14227,5.41
10-15um,1385,54.68,38.24,53692,58
15-20um,695,27.44,45.28,26943,68
20-25um,74,2.92,10.07,2869,15
25-30um,4,0.16,1.16,155,1.75
30-35um,3,0.12,1.39,116,2.10
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,207,8.17,2.42,8025,3.64
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

