List File,32CR1.lst
Start Time,2016-12-16  14:31:47
Sampling Time,1 min 1 sec

Count,344
Particles / ml,13001

Efficiency,8.7%
PPUI,1.29

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),80.12,19.81,486.10,49.15,61.34
Aspect Ratio,0.82,0.27,0.99,0.15,18.58
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.72,0.07,0.95,0.18,25.16
Circularity (Hu),0.89,0.18,1.00,0.17,18.74
Compactness,1.95,1.03,10.52,1.27,65.20
Diameter (ABD),9.75,5.02,24.88,2.63,27.00
Diameter (ESD),11.52,5.75,28.46,3.29,28.55
Elongation,3.71,1.00,31.01,4.15,111.70
Geodesic Aspect Ratio,0.54,0.03,1.00,0.35,64.84
Geodesic Length,19.00,6.33,76.55,11.37,59.87
Geodesic Thickness,7.21,1.85,13.79,2.59,35.89
Image Height,35.15,23.00,64.00,5.95,16.94
Image Width,34.92,23.00,65.00,6.35,18.20
Intensity,140.02,91.30,213.71,22.31,15.93
Length,12.95,6.50,35.06,3.96,30.61
Perimeter,52.41,25.31,159.25,20.32,38.78
Roughness,1.24,1.04,2.51,0.23,18.43
Sigma Intensity,32.40,3.63,52.42,12.31,38.01
Sum Intensity,55848.68,20348.00,2.27e+005,26828.72,48.04
Transparency,0.14,0.03,0.59,0.11,76.13
Volume (ABD),604.35,66.31,8062.25,689.67,114.12
Width,9.68,3.04,24.01,2.82,29.10

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,4,1.16,0.12,151,0.02
6-7um,5,1.45,0.22,189,0.03
7-8um,17,4.94,1.14,642,0.15
8-9um,40,11.63,3.73,1512,0.49
0-5um,0,0.00,0.00,0.00,0.00
5-10um,118,34.30,11.87,4460,1.57
10-15um,176,51.16,43.99,6652,5.82
15-20um,40,11.63,30.07,1512,3.98
20-25um,3,0.87,4.36,113,0.58
25-30um,3,0.87,9.06,113,1.20
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,52,15.12,6.65,1965,0.88
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

