List File,08SO4_copy.lst
Start Time,2016-12-20  10:39:25
Sampling Time,39 sec

Count,27  of  27
Particles / ml,1620

Efficiency,8.6%
PPUI,3.22

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),192.52,40.41,1105.77,217.86,113.16
Aspect Ratio,0.73,0.37,0.96,0.15,20.98
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.62,0.14,0.82,0.19,30.16
Circularity (Hu),0.88,0.55,0.97,0.10,11.50
Compactness,1.95,1.28,3.39,0.59,30.45
Diameter (ABD),14.24,7.17,37.52,6.63,46.56
Diameter (ESD),16.83,9.07,45.86,8.20,48.73
Elongation,3.79,1.19,8.54,2.00,52.84
Geodesic Aspect Ratio,0.34,0.12,0.84,0.17,51.05
Geodesic Length,29.33,12.32,102.21,18.71,63.80
Geodesic Thickness,8.06,4.32,13.63,2.66,33.03
Image Height,45.74,24.00,87.00,16.97,37.11
Image Width,43.89,32.00,106.00,14.46,32.94
Intensity,142.55,102.41,183.07,17.14,12.03
Length,19.98,10.20,55.43,10.47,52.42
Perimeter,74.78,40.27,229.51,39.79,53.22
Roughness,1.29,1.10,1.79,0.15,11.62
Sigma Intensity,41.08,29.58,55.62,5.91,14.38
Sum Intensity,1.16e+005,33465.00,5.74e+005,1.11e+005,95.58
Transparency,0.15,0.09,0.28,0.04,29.49
Volume (ABD),2729.66,193.26,27660.67,5393.49,197.59
Width,13.07,5.25,31.92,5.34,40.87

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2,7.41,0.63,120,0.05
10-15um,14,51.85,11.77,840,0.90
15-20um,5,18.52,10.32,300,0.79
20-25um,2,7.41,9.02,120,0.69
25-30um,2,7.41,16.85,120,1.29
30-35um,1,3.70,11.97,60,0.92
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,1,3.70,39.45,60,3.03
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,2,7.41,0.63,120,0.05
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

