List File,08SO4_copy.lst
Start Time,2016-12-22  14:48:12
Sampling Time,44 sec

Count,303  of  303
Particles / ml,17440

Efficiency,8.0%
PPUI,4.81

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),168.80,19.60,745.41,121.16,71.78
Aspect Ratio,0.72,0.10,0.99,0.15,21.28
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.63,0.00,0.90,0.16,24.79
Circularity (Hu),0.87,0.17,0.99,0.13,14.42
Compactness,2.10,1.09,7.63,0.99,47.24
Diameter (ABD),13.87,5.00,30.81,4.75,34.26
Diameter (ESD),16.42,5.72,42.27,5.53,33.71
Elongation,4.27,1.00,21.94,3.23,75.74
Geodesic Aspect Ratio,0.33,0.05,1.00,0.20,60.77
Geodesic Length,29.09,6.49,95.21,13.45,46.22
Geodesic Thickness,7.90,1.68,14.23,2.48,31.36
Image Height,44.57,23.00,86.00,11.64,26.11
Image Width,43.39,20.00,117.00,10.93,25.18
Intensity,146.37,84.45,208.96,18.84,12.87
Length,19.27,6.66,63.38,7.01,36.38
Perimeter,73.99,25.95,199.27,27.54,37.22
Roughness,1.34,1.04,2.23,0.24,17.59
Sigma Intensity,40.99,4.67,56.23,8.61,21.02
Sum Intensity,1.09e+005,19888.00,4.31e+005,70116.30,64.09
Transparency,0.15,0.04,0.64,0.08,49.55
Volume (ABD),1935.35,65.29,15309.29,2227.23,115.08
Width,12.88,1.94,28.24,4.43,34.39

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.33,0.01,58,0.01
6-7um,4,1.32,0.07,230,0.04
7-8um,2,0.66,0.05,115,0.03
8-9um,3,0.99,0.11,173,0.06
0-5um,0,0.00,0.00,0.00,0.00
5-10um,22,7.26,0.81,1266,0.45
10-15um,122,40.26,14.02,7022,7.82
15-20um,88,29.04,25.38,5065,14
20-25um,47,15.51,26.79,2705,15
25-30um,16,5.28,16.93,921,9.45
30-35um,4,1.32,6.97,230,3.89
35-40um,2,0.66,4.97,115,2.77
40-45um,1,0.33,4.08,58,2.28
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,12,3.96,0.57,691,0.32
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

