List File,08SO1_copy.lst
Start Time,2017-01-01  15:08:49
Sampling Time,49 sec

Count,739  of  739
Particles / ml,40189

Efficiency,7.5%
PPUI,6.89

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),174.90,20.63,712.94,122.37,69.96
Aspect Ratio,0.72,0.21,1.00,0.16,22.93
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.61,0.07,0.94,0.16,26.60
Circularity (Hu),0.87,0.18,1.00,0.11,12.74
Compactness,2.11,1.01,11.83,0.99,46.96
Diameter (ABD),14.14,5.12,30.13,4.76,33.69
Diameter (ESD),16.74,5.87,37.23,5.63,33.64
Elongation,4.32,1.00,35.15,3.21,74.39
Geodesic Aspect Ratio,0.32,0.03,1.00,0.19,58.72
Geodesic Length,29.99,6.36,117.02,14.05,46.86
Geodesic Thickness,7.86,1.81,16.72,2.42,30.76
Image Height,46.44,26.00,100.00,12.22,26.31
Image Width,42.52,21.00,89.00,10.62,24.98
Intensity,138.24,81.97,208.88,21.37,15.46
Length,19.83,6.52,47.84,7.21,36.37
Perimeter,75.70,25.44,243.42,28.77,38.00
Roughness,1.34,1.04,2.72,0.23,17.20
Sigma Intensity,41.48,4.03,64.17,8.30,20.02
Sum Intensity,1.05e+005,16888.00,3.79e+005,63072.60,60.04
Transparency,0.15,0.04,0.59,0.06,38.55
Volume (ABD),2029.95,70.47,14320.03,2233.57,110.03
Width,12.92,3.21,28.01,4.11,31.81

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.14,0.00,54,0.01
6-7um,5,0.68,0.03,272,0.04
7-8um,9,1.22,0.08,489,0.11
8-9um,15,2.03,0.19,816,0.26
0-5um,0,0.00,0.00,0.00,0.00
5-10um,50,6.77,0.67,2719,0.91
10-15um,274,37.08,11.97,14901,16
15-20um,235,31.80,25.72,12780,35
20-25um,107,14.48,24.70,5819,33
25-30um,53,7.17,22.52,2882,30
30-35um,15,2.03,10.37,816,14
35-40um,4,0.54,4.03,218,5.45
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,20,2.71,0.36,1088,0.49
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

