List File,08SO3_copy.lst
Start Time,2017-01-04  13:54:16
Sampling Time,40 sec

Count,943  of  943
Particles / ml,56725

Efficiency,8.3%
PPUI,4.08

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),152.01,19.60,1017.68,108.81,71.58
Aspect Ratio,0.71,0.05,0.99,0.16,22.59
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.61,0.00,0.95,0.15,25.04
Circularity (Hu),0.87,0.08,1.00,0.10,11.01
Compactness,1.92,1.01,8.50,0.74,38.53
Diameter (ABD),13.21,5.00,36.00,4.38,33.14
Diameter (ESD),15.61,6.14,41.39,5.38,34.48
Elongation,3.67,1.00,24.66,2.47,67.23
Geodesic Aspect Ratio,0.40,0.04,1.00,0.27,66.18
Geodesic Length,26.29,6.99,84.19,13.15,50.01
Geodesic Thickness,8.09,1.55,17.72,2.44,30.17
Image Height,43.24,19.00,123.00,12.37,28.60
Image Width,41.59,14.00,98.00,9.95,23.92
Intensity,134.90,83.81,215.21,20.14,14.93
Length,18.60,6.52,62.14,6.98,37.54
Perimeter,68.75,27.97,187.82,26.33,38.30
Roughness,1.29,1.03,2.19,0.21,15.92
Sigma Intensity,37.11,3.19,63.98,10.28,27.71
Sum Intensity,91243.21,19297.00,4.15e+005,55411.33,60.73
Transparency,0.15,0.04,0.72,0.06,39.04
Volume (ABD),1648.09,65.29,24421.94,1977.14,119.97
Width,11.93,1.11,31.22,4.02,33.65

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,15,1.59,0.09,902,0.15
7-8um,12,1.27,0.10,722,0.16
8-9um,24,2.55,0.30,1444,0.47
0-5um,0,0.00,0.00,0.00,0.00
5-10um,105,11.13,1.41,6316,2.24
10-15um,426,45.17,18.16,25626,29
15-20um,232,24.60,23.82,13956,38
20-25um,115,12.20,25.19,6918,40
25-30um,47,4.98,18.68,2827,30
30-35um,10,1.06,6.54,602,10
35-40um,3,0.32,2.81,180,4.45
40-45um,2,0.21,2.71,120,4.29
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,54,5.73,0.92,3248,1.45
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

