List File,16SO5_R2.lst
Start Time,2017-01-10  14:11:17
Sampling Time,35 sec

Count,3503
Particles / ml,237444

Efficiency,8.3%
PPUI,8.48

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),108.62,19.60,515.85,51.82,47.71
Aspect Ratio,0.74,0.12,1.00,0.15,19.80
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.62,0.00,0.95,0.14,22.24
Circularity (Hu),0.86,0.23,1.00,0.08,9.40
Compactness,2.06,1.00,8.07,0.78,38.13
Diameter (ABD),11.45,5.00,25.63,2.68,23.38
Diameter (ESD),13.75,5.44,38.94,3.48,25.28
Elongation,4.13,1.00,23.30,2.60,62.96
Geodesic Aspect Ratio,0.36,0.04,1.00,0.26,72.14
Geodesic Length,24.61,5.94,85.07,10.60,43.06
Geodesic Thickness,6.81,1.64,15.17,1.90,27.90
Image Height,39.99,22.00,91.00,7.68,19.21
Image Width,38.35,19.00,93.00,7.45,19.42
Intensity,141.37,75.77,214.60,19.69,13.93
Length,16.33,5.97,48.52,4.47,27.35
Perimeter,62.84,23.74,182.08,19.73,31.40
Roughness,1.29,1.03,2.18,0.18,14.14
Sigma Intensity,38.34,2.93,59.82,9.67,25.23
Sum Intensity,73920.58,13996.00,2.59e+005,31678.99,42.86
Transparency,0.16,0.04,0.58,0.05,33.55
Volume (ABD),920.16,65.29,8813.46,700.52,76.13
Width,10.86,1.81,23.05,2.85,26.28

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,9,0.26,0.02,610,0.06
6-7um,27,0.77,0.07,1830,0.28
7-8um,86,2.46,0.34,5829,1.33
8-9um,129,3.68,0.72,8744,2.82
0-5um,0,0.00,0.00,0.00,0.00
5-10um,439,12.53,2.64,29757,10
10-15um,1894,54.07,35.93,128381,140
15-20um,1024,29.23,45.20,69410,176
20-25um,117,3.34,11.06,7931,43
25-30um,21,0.60,3.64,1423,14
30-35um,3,0.09,0.80,203,3.13
35-40um,1,0.03,0.54,68,2.10
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,186,5.31,1.47,12608,5.73
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

