List File,16SO_R4.lst
Start Time,2017-01-10  13:59:36
Sampling Time,35 sec

Count,4783
Particles / ml,332009

Efficiency,8.1%
PPUI,11.90

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),84.05,19.60,541.21,40.16,47.78
Aspect Ratio,0.72,0.07,1.00,0.19,26.86
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.62,0.00,0.95,0.18,29.67
Circularity (Hu),0.84,0.10,1.00,0.16,19.00
Compactness,2.08,1.00,12.04,1.21,58.18
Diameter (ABD),10.08,5.00,26.25,2.33,23.12
Diameter (ESD),12.33,5.49,37.79,2.98,24.16
Elongation,4.17,1.00,35.79,3.94,94.46
Geodesic Aspect Ratio,0.44,0.03,1.00,0.32,72.33
Geodesic Length,21.02,6.05,94.32,9.83,46.74
Geodesic Thickness,6.70,1.33,17.27,2.27,33.91
Image Height,37.87,23.00,109.00,7.24,19.12
Image Width,34.74,16.00,89.00,8.01,23.07
Intensity,141.25,76.56,214.17,22.27,15.77
Length,14.84,5.76,53.13,4.12,27.76
Perimeter,55.44,24.20,200.30,17.23,31.08
Roughness,1.24,1.03,2.08,0.17,13.43
Sigma Intensity,34.06,2.38,56.15,13.68,40.15
Sum Intensity,59182.34,15642.00,3.22e+005,24525.07,41.44
Transparency,0.17,0.03,0.69,0.11,60.42
Volume (ABD),625.98,65.29,9471.25,491.49,78.52
Width,9.32,2.21,24.08,2.97,31.85

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,10,0.21,0.02,694,0.07
6-7um,45,0.94,0.12,3124,0.46
7-8um,147,3.07,0.60,10204,2.33
8-9um,286,5.98,1.66,19852,6.44
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1018,21.28,6.68,70664,26
10-15um,3003,62.78,54.14,208451,210
15-20um,668,13.97,29.18,46369,113
20-25um,73,1.53,7.05,5067,27
25-30um,7,0.15,1.46,486,5.66
30-35um,1,0.02,0.34,69,1.30
35-40um,2,0.04,0.92,139,3.59
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,525,10.98,4.26,36443,17
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

