List File,38SO1.lst
Start Time,2017-01-10  15:02:13
Sampling Time,35 sec

Count,203
Particles / ml,13328

Efficiency,8.5%
PPUI,1.28

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),104.84,20.42,436.25,65.61,62.58
Aspect Ratio,0.72,0.11,0.99,0.16,22.14
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.66,0.00,0.93,0.17,25.57
Circularity (Hu),0.87,0.10,1.00,0.14,16.02
Compactness,1.91,1.06,9.79,1.05,54.86
Diameter (ABD),11.02,5.10,23.57,3.47,31.49
Diameter (ESD),13.20,5.88,29.86,4.02,30.49
Elongation,3.58,1.00,28.71,3.44,95.95
Geodesic Aspect Ratio,0.45,0.03,1.00,0.28,62.48
Geodesic Length,21.04,6.60,54.57,9.05,43.02
Geodesic Thickness,7.72,1.60,17.60,3.22,41.74
Image Height,38.06,22.00,77.00,9.27,24.35
Image Width,37.98,22.00,81.00,8.10,21.33
Intensity,160.93,94.98,197.25,19.99,12.42
Length,15.74,6.98,38.13,5.24,33.29
Perimeter,57.52,26.41,124.70,17.52,30.46
Roughness,1.30,1.04,2.07,0.21,16.18
Sigma Intensity,36.88,5.85,58.44,9.26,25.11
Sum Intensity,79219.56,24730.00,2.53e+005,40530.15,51.16
Transparency,0.16,0.03,0.67,0.10,58.82
Volume (ABD),918.81,69.42,6854.46,882.45,96.04
Width,10.04,2.29,18.32,3.41,33.97

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.49,0.03,66,0.01
6-7um,2,0.99,0.10,131,0.02
7-8um,18,8.87,1.27,1182,0.26
8-9um,11,5.42,1.10,722,0.23
0-5um,0,0.00,0.00,0.00,0.00
5-10um,42,20.69,3.93,2758,0.82
10-15um,97,47.78,31.31,6369,6.52
15-20um,53,26.11,42.00,3480,8.75
20-25um,8,3.94,12.79,525,2.66
25-30um,3,1.48,9.97,197,2.08
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,9,4.43,1.31,591,0.27
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

