List File,32CR2.lst
Start Time,2017-01-11  11:43:24
Sampling Time,48 sec

Count,216
Particles / ml,10452

Efficiency,8.6%
PPUI,1.22

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),106.46,19.81,1033.96,122.94,115.49
Aspect Ratio,0.82,0.26,0.99,0.13,15.74
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.71,0.00,0.94,0.16,22.03
Circularity (Hu),0.91,0.26,1.00,0.11,11.99
Compactness,1.97,1.01,8.78,1.02,52.02
Diameter (ABD),10.72,5.02,36.28,4.55,42.40
Diameter (ESD),12.64,5.79,44.04,5.78,45.74
Elongation,3.79,1.00,25.55,3.36,88.67
Geodesic Aspect Ratio,0.43,0.04,1.00,0.29,67.46
Geodesic Length,22.09,6.33,100.90,14.72,66.63
Geodesic Thickness,7.09,1.97,21.57,2.90,40.93
Image Height,37.41,22.00,87.00,10.16,27.16
Image Width,36.85,25.00,104.00,11.82,32.07
Intensity,144.13,93.86,209.69,20.85,14.47
Length,14.25,6.97,54.92,7.21,50.56
Perimeter,58.36,25.31,225.80,29.75,50.98
Roughness,1.31,1.04,2.37,0.24,18.46
Sigma Intensity,39.49,4.71,56.53,8.39,21.25
Sum Intensity,74312.41,21295.00,5.71e+005,72596.07,97.69
Transparency,0.15,0.03,0.50,0.07,45.70
Volume (ABD),1118.24,66.31,25010.50,2598.26,232.35
Width,10.62,4.14,34.95,4.26,40.11

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.46,0.02,48,0.00
6-7um,3,1.39,0.11,145,0.02
7-8um,13,6.02,0.63,629,0.13
8-9um,22,10.19,1.64,1065,0.35
0-5um,0,0.00,0.00,0.00,0.00
5-10um,68,31.48,5.36,3290,1.14
10-15um,111,51.39,23.86,5371,5.05
15-20um,22,10.19,12.44,1065,2.63
20-25um,8,3.70,12.34,387,2.61
25-30um,1,0.46,1.92,48,0.41
30-35um,2,0.93,8.80,97,1.86
35-40um,1,0.46,7.61,48,1.61
40-45um,3,1.39,27.68,145,5.86
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,29,13.43,2.97,1403,0.63
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

