List File,25CR_R2.lst
Start Time,2016-11-10  12:21:36
Sampling Time,49 sec

Count,368
Particles / ml,17328

Efficiency,8.6%
PPUI,1.39

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),50.44,19.60,200.01,26.29,52.12
Aspect Ratio,0.88,0.57,0.99,0.07,7.73
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.80,0.47,0.94,0.08,10.10
Circularity (Hu),0.95,0.73,1.00,0.04,3.90
Compactness,1.50,1.00,4.88,0.46,30.89
Diameter (ABD),7.79,5.00,15.96,1.90,24.41
Diameter (ESD),8.87,6.03,18.99,2.15,24.24
Elongation,2.22,1.00,13.24,1.58,71.05
Geodesic Aspect Ratio,0.61,0.08,1.00,0.29,47.91
Geodesic Length,13.11,6.52,39.41,5.72,43.65
Geodesic Thickness,6.70,2.69,13.11,1.73,25.78
Image Height,30.45,22.00,52.00,4.27,14.01
Image Width,30.04,23.00,47.00,4.07,13.56
Intensity,152.05,109.27,183.84,14.10,9.28
Length,9.77,6.50,21.63,2.27,23.23
Perimeter,39.61,26.09,84.76,10.72,27.05
Roughness,1.20,1.04,1.92,0.14,11.78
Sigma Intensity,39.17,12.81,51.43,7.03,17.94
Sum Intensity,43152.88,18985.00,1.19e+005,18561.96,43.01
Transparency,0.12,0.04,0.32,0.04,36.71
Volume (ABD),294.62,65.29,2127.79,250.61,85.06
Width,7.79,4.70,16.62,2.05,26.35

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,77,20.92,7.11,3626,0.52
7-8um,69,18.75,9.75,3249,0.72
8-9um,74,20.11,15.25,3484,1.12
0-5um,0,0.00,0.00,0.00,0.00
5-10um,258,70.11,42.86,12148,3.15
10-15um,98,26.63,52.77,4615,3.87
15-20um,2,0.54,4.03,94,0.30
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,36,9.78,10.52,1695,0.77
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

