List File,5CH3_R2.lst
Start Time,2016-11-17  11:49:26
Sampling Time,1 min 39 sec

Count,601
Particles / ml,14761

Efficiency,16.4%
PPUI,1.33

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),82.32,23.75,216.43,27.52,33.43
Aspect Ratio,0.81,0.57,0.99,0.10,11.84
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.74,0.44,0.94,0.07,9.70
Circularity (Hu),0.94,0.81,1.00,0.03,3.16
Compactness,1.60,1.02,3.34,0.37,23.11
Diameter (ABD),10.09,5.50,16.60,1.73,17.10
Diameter (ESD),11.52,6.34,19.70,2.01,17.42
Elongation,2.62,1.00,8.38,1.29,49.32
Geodesic Aspect Ratio,0.50,0.12,1.00,0.28,55.65
Geodesic Length,17.61,6.72,36.13,5.85,33.22
Geodesic Thickness,7.43,3.57,13.29,1.82,24.47
Image Height,34.58,25.00,54.00,4.11,11.88
Image Width,35.53,24.00,50.00,4.58,12.89
Intensity,129.66,92.35,172.62,14.86,11.46
Length,13.08,7.18,22.80,2.42,18.49
Perimeter,50.08,26.87,86.46,10.14,20.25
Roughness,1.21,1.04,1.68,0.11,9.36
Sigma Intensity,36.64,11.35,51.32,9.15,24.96
Sum Intensity,53791.59,18084.00,1.18e+005,15950.81,29.65
Transparency,0.12,0.04,0.33,0.04,30.33
Volume (ABD),585.28,87.04,2395.19,290.47,49.63
Width,9.73,5.25,14.50,1.83,18.75

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,3,0.50,0.09,74,0.01
7-8um,16,2.66,0.68,393,0.09
8-9um,54,8.99,3.45,1326,0.44
0-5um,0,0.00,0.00,0.00,0.00
5-10um,142,23.63,10.07,3488,1.30
10-15um,432,71.88,80.53,10610,10
15-20um,22,3.66,8.90,540,1.15
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,67,11.15,5.72,1646,0.74
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

