List File,5TT2_R4.lst
Start Time,2016-11-17  11:25:00
Sampling Time,1 min 39 sec

Count,346
Particles / ml,8534

Efficiency,16.4%
PPUI,1.15

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),115.81,20.83,387.50,44.18,38.15
Aspect Ratio,0.78,0.36,1.00,0.13,16.27
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.07,0.94,0.12,16.82
Circularity (Hu),0.91,0.35,1.00,0.10,10.56
Compactness,1.91,1.02,10.51,1.09,57.34
Diameter (ABD),11.89,5.15,22.21,2.45,20.58
Diameter (ESD),13.76,6.25,34.94,2.64,19.19
Elongation,3.60,1.00,31.00,3.56,99.08
Geodesic Aspect Ratio,0.44,0.03,1.00,0.27,61.71
Geodesic Length,22.40,6.72,125.69,9.51,42.48
Geodesic Thickness,8.04,1.50,14.34,2.63,32.73
Image Height,39.15,25.00,55.00,5.38,13.73
Image Width,39.10,21.00,99.00,6.16,15.75
Intensity,125.43,80.32,182.46,21.21,16.91
Length,15.76,6.50,47.11,3.17,20.13
Perimeter,60.86,26.87,259.49,16.91,27.78
Roughness,1.27,1.04,2.62,0.21,16.52
Sigma Intensity,38.51,15.58,61.51,9.43,24.49
Sum Intensity,68304.30,16926.00,2.48e+005,25863.76,37.87
Transparency,0.14,0.03,0.46,0.07,53.62
Volume (ABD),988.80,71.52,5738.16,565.09,57.15
Width,11.48,3.19,21.77,2.60,22.61

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,4,1.16,0.11,99,0.01
7-8um,5,1.45,0.21,123,0.03
8-9um,7,2.02,0.40,173,0.05
0-5um,0,0.00,0.00,0.00,0.00
5-10um,24,6.94,1.40,592,0.18
10-15um,218,63.01,50.14,5377,6.52
15-20um,101,29.19,42.62,2491,5.55
20-25um,2,0.58,1.60,49,0.21
25-30um,0,0.00,0.00,0.00,0.00
30-35um,1,0.29,4.23,25,0.55
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,7,2.02,0.60,173,0.08
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

