List File,5TT5.lst
Start Time,2016-11-17  11:35:13
Sampling Time,1 min 39 sec

Count,305
Particles / ml,7497

Efficiency,16.3%
PPUI,1.16

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),116.48,21.45,240.15,34.19,29.35
Aspect Ratio,0.80,0.39,0.99,0.12,15.42
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.71,0.19,0.90,0.11,15.16
Circularity (Hu),0.92,0.48,0.99,0.08,8.72
Compactness,1.79,1.07,7.06,0.68,37.73
Diameter (ABD),12.03,5.23,17.49,1.88,15.66
Diameter (ESD),13.84,7.97,24.79,2.10,15.14
Elongation,3.23,1.00,20.14,2.28,70.67
Geodesic Aspect Ratio,0.44,0.05,1.00,0.26,58.74
Geodesic Length,22.04,9.27,69.04,7.64,34.68
Geodesic Thickness,8.17,2.22,16.25,2.40,29.36
Image Height,38.98,21.00,56.00,4.82,12.36
Image Width,39.49,26.00,69.00,4.65,11.76
Intensity,123.47,83.19,183.56,18.56,15.03
Length,15.74,9.44,30.28,2.36,14.99
Perimeter,60.42,37.08,144.94,12.70,21.02
Roughness,1.25,1.04,1.80,0.16,12.43
Sigma Intensity,41.05,10.26,57.57,9.02,21.98
Sum Intensity,68550.73,21145.00,1.30e+005,21436.93,31.27
Transparency,0.13,0.04,0.42,0.06,45.99
Volume (ABD),976.79,74.74,2799.50,413.55,42.34
Width,11.71,3.43,18.59,2.32,19.82

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,1,0.33,0.06,25,0.01
8-9um,3,0.98,0.23,74,0.03
0-5um,0,0.00,0.00,0.00,0.00
5-10um,11,3.61,1.00,270,0.11
10-15um,209,68.52,55.82,5138,6.22
15-20um,83,27.21,40.32,2040,4.49
20-25um,2,0.66,2.86,49,0.32
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,7,2.30,0.71,172,0.08
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

