List File,8CH1_R2.lst
Start Time,2016-11-17  12:21:18
Sampling Time,47 sec

Count,294
Particles / ml,14375

Efficiency,8.6%
PPUI,1.46

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),76.89,20.83,247.91,29.23,38.01
Aspect Ratio,0.79,0.35,0.99,0.10,12.78
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.75,0.17,0.95,0.10,12.90
Circularity (Hu),0.93,0.33,1.00,0.07,7.75
Compactness,1.62,1.00,7.28,0.68,42.12
Diameter (ABD),9.72,5.15,17.77,1.86,19.18
Diameter (ESD),11.09,6.67,22.66,2.21,19.94
Elongation,2.66,1.00,20.83,2.25,84.44
Geodesic Aspect Ratio,0.55,0.05,1.00,0.30,54.48
Geodesic Length,16.65,7.11,64.34,6.90,41.47
Geodesic Thickness,7.48,1.68,13.55,2.06,27.54
Image Height,34.30,25.00,66.00,5.01,14.61
Image Width,34.26,23.00,47.00,4.47,13.05
Intensity,122.27,90.56,175.64,15.21,12.44
Length,12.71,7.18,29.57,2.78,21.85
Perimeter,48.25,28.43,136.02,12.01,24.89
Roughness,1.18,1.03,2.25,0.14,11.85
Sigma Intensity,33.39,13.96,51.23,7.73,23.14
Sum Intensity,47606.16,18456.00,1.32e+005,14752.91,30.99
Transparency,0.12,0.03,0.47,0.06,48.22
Volume (ABD),533.95,71.52,2936.29,309.83,58.03
Width,9.26,5.34,15.42,1.87,20.23

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,5,1.70,0.35,244,0.04
7-8um,14,4.76,1.35,685,0.16
8-9um,36,12.24,4.82,1760,0.56
0-5um,0,0.00,0.00,0.00,0.00
5-10um,93,31.63,13.70,4547,1.58
10-15um,193,65.65,77.33,9437,8.93
15-20um,5,1.70,4.28,244,0.49
20-25um,2,0.68,4.47,98,0.52
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,37,12.59,7.08,1809,0.82
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

