List File,08CH4.lst
Start Time,2016-11-17  12:30:30
Sampling Time,49 sec

Count,705
Particles / ml,33140

Efficiency,8.6%
PPUI,1.77

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),62.21,20.83,471.40,28.20,45.34
Aspect Ratio,0.82,0.48,0.99,0.08,10.24
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.78,0.30,0.94,0.09,10.95
Circularity (Hu),0.95,0.63,1.00,0.04,4.19
Compactness,1.46,1.00,3.95,0.39,27.01
Diameter (ABD),8.74,5.15,24.50,1.70,19.45
Diameter (ESD),9.87,6.12,26.80,1.97,20.01
Elongation,2.14,1.00,10.33,1.33,62.41
Geodesic Aspect Ratio,0.63,0.10,1.00,0.31,48.72
Geodesic Length,13.90,6.68,56.78,5.48,39.44
Geodesic Thickness,7.36,2.71,12.88,1.80,24.52
Image Height,32.28,23.00,67.00,4.30,13.32
Image Width,31.79,24.00,62.00,3.89,12.25
Intensity,124.71,57.98,176.69,14.20,11.39
Length,11.20,6.71,29.50,2.42,21.60
Perimeter,42.51,26.74,133.70,9.65,22.70
Roughness,1.16,1.03,1.76,0.10,8.87
Sigma Intensity,32.83,14.15,52.11,8.43,25.68
Sum Intensity,41098.85,18483.00,1.09e+005,12738.97,31.00
Transparency,0.11,0.03,0.32,0.05,42.84
Volume (ABD),393.27,71.52,7699.23,359.99,91.54
Width,8.34,4.70,24.22,1.69,20.23

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,18,2.55,0.69,846,0.13
7-8um,79,11.21,4.60,3714,0.87
8-9um,165,23.40,13.22,7756,2.50
0-5um,0,0.00,0.00,0.00,0.00
5-10um,416,59.01,35.45,19555,6.70
10-15um,277,39.29,57.04,13021,11
15-20um,8,1.13,4.61,376,0.87
20-25um,0,0.00,0.00,0.00,0.00
25-30um,1,0.14,2.51,47,0.47
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,150,21.28,16.64,7051,3.14
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

