List File,8TT1_R3.lst
Start Time,2016-11-17  12:06:23
Sampling Time,48 sec

Count,367
Particles / ml,17666

Efficiency,8.6%
PPUI,1.37

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),113.19,20.22,205.03,31.67,27.98
Aspect Ratio,0.78,0.34,0.99,0.12,15.08
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.71,0.31,0.93,0.09,12.20
Circularity (Hu),0.92,0.36,1.00,0.06,6.39
Compactness,1.74,1.03,6.37,0.55,31.28
Diameter (ABD),11.88,5.07,16.16,1.74,14.62
Diameter (ESD),13.65,7.80,18.83,1.97,14.44
Elongation,3.07,1.00,17.96,1.85,60.28
Geodesic Aspect Ratio,0.43,0.06,1.00,0.24,55.50
Geodesic Length,21.67,8.52,47.60,6.89,31.79
Geodesic Thickness,8.00,1.81,14.23,2.03,25.41
Image Height,39.21,27.00,55.00,4.71,12.01
Image Width,38.68,27.00,53.00,4.55,11.75
Intensity,125.64,81.73,177.44,16.42,13.07
Length,15.63,8.25,23.04,2.24,14.31
Perimeter,59.35,34.09,103.63,11.65,19.63
Roughness,1.24,1.04,1.75,0.14,11.34
Sigma Intensity,41.46,20.51,58.86,7.90,19.06
Sum Intensity,68643.40,23247.00,1.22e+005,21627.24,31.51
Transparency,0.13,0.03,0.48,0.04,33.33
Volume (ABD),932.73,68.37,2208.46,380.45,40.79
Width,11.46,5.72,16.74,2.13,18.55

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,1,0.27,0.05,48,0.01
8-9um,2,0.54,0.13,96,0.03
0-5um,0,0.00,0.00,0.00,0.00
5-10um,15,4.09,1.20,722,0.30
10-15um,266,72.48,61.31,12804,15
15-20um,86,23.43,37.49,4140,9.36
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,12,3.27,1.03,578,0.26
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

