List File,25CR1_R2.lst
Start Time,2016-11-21  14:27:46
Sampling Time,43 sec

Count,744
Particles / ml,39850

Efficiency,8.5%
PPUI,1.86

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),68.30,19.60,454.23,28.48,41.70
Aspect Ratio,0.84,0.33,0.99,0.10,12.31
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.77,0.11,0.96,0.13,16.71
Circularity (Hu),0.94,0.17,1.00,0.07,7.59
Compactness,1.58,1.00,8.34,0.67,42.07
Diameter (ABD),9.17,5.00,24.05,1.70,18.53
Diameter (ESD),10.41,6.07,33.14,2.22,21.32
Elongation,2.52,1.00,24.17,2.22,88.37
Geodesic Aspect Ratio,0.62,0.04,1.00,0.33,53.15
Geodesic Length,15.50,6.44,81.40,7.89,50.89
Geodesic Thickness,7.45,1.65,12.61,1.94,26.05
Image Height,33.39,22.00,87.00,4.64,13.90
Image Width,32.67,24.00,62.00,4.23,12.96
Intensity,125.98,78.43,206.37,19.08,15.15
Length,11.64,6.28,40.96,2.69,23.10
Perimeter,45.91,25.76,176.75,13.58,29.59
Roughness,1.19,1.03,2.03,0.15,12.96
Sigma Intensity,34.74,4.59,50.25,7.77,22.37
Sum Intensity,45636.15,16936.00,2.73e+005,18990.17,41.61
Transparency,0.11,0.03,0.60,0.06,49.25
Volume (ABD),448.88,65.29,7282.36,358.97,79.97
Width,8.93,3.48,21.11,1.80,20.17

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,13,1.75,0.37,696,0.10
7-8um,56,7.53,2.54,2999,0.69
8-9um,123,16.53,7.90,6588,2.15
0-5um,0,0.00,0.00,0.00,0.00
5-10um,360,48.39,25.56,19282,6.96
10-15um,363,48.79,60.79,19443,17
15-20um,18,2.42,8.06,964,2.20
20-25um,2,0.27,1.84,107,0.50
25-30um,0,0.00,0.00,0.00,0.00
30-35um,1,0.13,3.75,54,1.02
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,165,22.18,14.53,8838,3.96
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

