List File,05CR1.lst
Start Time,2016-11-24  12:43:58
Sampling Time,1 min 41 sec

Count,3
Particles / ml,72

Efficiency,16.3%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),48.13,39.51,58.29,9.49,19.71
Aspect Ratio,0.84,0.81,0.87,0.03,3.53
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.76,0.71,0.86,0.09,11.34
Circularity (Hu),0.94,0.92,0.98,0.03,3.62
Compactness,1.64,1.19,2.09,0.45,27.54
Diameter (ABD),7.80,7.09,8.62,0.77,9.82
Diameter (ESD),8.99,8.14,10.54,1.34,14.94
Elongation,2.71,1.00,4.35,1.68,61.82
Geodesic Aspect Ratio,0.53,0.23,1.00,0.41,77.89
Geodesic Length,14.48,8.73,20.52,5.90,40.77
Geodesic Thickness,6.18,4.72,8.73,2.22,35.93
Image Height,30.33,30.00,31.00,0.58,1.90
Image Width,31.00,28.00,36.00,4.36,14.06
Intensity,161.63,144.85,189.40,24.23,14.99
Length,10.12,8.95,12.15,1.77,17.46
Perimeter,41.31,34.93,50.48,8.14,19.71
Roughness,1.20,1.10,1.29,0.10,8.05
Sigma Intensity,44.98,35.75,54.38,9.32,20.71
Sum Intensity,43611.67,40218.00,45918.00,3001.54,6.88
Transparency,0.13,0.07,0.18,0.06,43.62
Volume (ABD),253.61,186.80,334.80,75.04,29.59
Width,7.87,7.38,8.79,0.80,10.11

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,2,66.67,48.67,48,0.01
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2,66.67,48.67,48,0.01
10-15um,1,33.33,51.33,24,0.01
15-20um,0,0.00,0.00,0.00,0.00
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

