List File,08TT2.lst
Start Time,2016-11-24  11:01:23
Sampling Time,54 sec

Count,498
Particles / ml,21296

Efficiency,8.6%
PPUI,1.49

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),106.44,21.66,182.10,28.96,27.21
Aspect Ratio,0.79,0.33,0.99,0.12,15.19
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.32,0.94,0.11,15.00
Circularity (Hu),0.92,0.37,1.00,0.06,6.28
Compactness,1.69,1.01,4.18,0.52,30.75
Diameter (ABD),11.52,5.25,15.23,1.66,14.44
Diameter (ESD),13.16,5.57,19.50,1.98,15.02
Elongation,2.89,1.00,11.03,1.80,62.12
Geodesic Aspect Ratio,0.51,0.09,1.00,0.31,61.16
Geodesic Length,20.28,6.13,49.83,7.51,37.01
Geodesic Thickness,8.26,2.34,13.99,2.42,29.30
Image Height,38.07,24.00,50.00,4.65,12.21
Image Width,37.90,24.00,61.00,4.47,11.79
Intensity,125.59,85.83,175.54,15.73,12.52
Length,15.01,5.92,25.78,2.28,15.16
Perimeter,57.08,24.53,108.70,12.04,21.09
Roughness,1.23,1.04,1.76,0.15,12.29
Sigma Intensity,38.17,11.12,56.53,10.44,27.35
Sum Intensity,64801.09,16660.00,1.22e+005,18572.14,28.66
Transparency,0.12,0.03,0.41,0.04,36.76
Volume (ABD),849.40,75.82,1848.50,332.78,39.18
Width,11.01,5.22,15.76,2.18,19.76

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.20,0.01,43,0.00
6-7um,2,0.40,0.05,86,0.01
7-8um,3,0.60,0.10,128,0.03
8-9um,8,1.61,0.41,342,0.11
0-5um,0,0.00,0.00,0.00,0.00
5-10um,34,6.83,1.98,1454,0.54
10-15um,380,76.31,69.63,16250,19
15-20um,84,16.87,28.39,3592,7.69
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,20,4.02,1.40,855,0.38
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

