List File,16CR3.lst
Start Time,2016-11-28  14:20:56
Sampling Time,41 sec

Count,187
Particles / ml,10523

Efficiency,8.6%
PPUI,1.22

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),72.19,31.27,163.27,20.32,28.15
Aspect Ratio,0.87,0.59,0.99,0.09,10.54
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.81,0.48,0.95,0.09,11.19
Circularity (Hu),0.96,0.81,1.00,0.04,3.66
Compactness,1.35,1.02,2.64,0.31,22.59
Diameter (ABD),9.50,6.31,14.42,1.30,13.64
Diameter (ESD),10.49,7.20,16.14,1.60,15.24
Elongation,1.75,1.00,6.13,1.04,59.65
Geodesic Aspect Ratio,0.73,0.16,1.00,0.29,40.01
Geodesic Length,13.44,7.74,33.01,4.99,37.10
Geodesic Thickness,8.47,4.40,15.84,1.70,20.05
Image Height,33.41,25.00,45.00,3.62,10.84
Image Width,32.79,26.00,44.00,3.29,10.04
Intensity,111.40,82.37,177.23,16.54,14.85
Length,11.67,7.90,17.60,1.98,16.93
Perimeter,43.83,30.97,77.81,8.28,18.89
Roughness,1.13,1.04,1.78,0.10,9.01
Sigma Intensity,33.85,21.40,54.02,5.89,17.41
Sum Intensity,42074.51,22986.00,1.30e+005,13946.64,33.15
Transparency,0.09,0.03,0.21,0.04,42.50
Volume (ABD),474.59,131.51,1569.36,209.77,44.20
Width,9.10,5.80,15.26,1.36,14.98

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,5,2.67,0.95,281,0.06
8-9um,27,14.44,7.50,1519,0.51
0-5um,0,0.00,0.00,0.00,0.00
5-10um,80,42.78,26.84,4502,1.83
10-15um,103,55.08,67.82,5796,4.62
15-20um,3,1.60,4.91,169,0.33
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,48,25.67,18.39,2701,1.25
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

