List File,25CR1-R2.lst
Start Time,2016-11-08  15:44:33
Sampling Time,33 sec

Count,24
Particles / ml,1666

Efficiency,8.7%
PPUI,1.04

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),82.91,19.81,249.52,66.54,80.26
Aspect Ratio,0.86,0.70,0.98,0.08,9.61
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.79,0.54,0.94,0.10,12.75
Circularity (Hu),0.95,0.80,1.00,0.05,5.15
Compactness,1.55,1.00,2.98,0.51,33.12
Diameter (ABD),9.57,5.02,17.82,3.81,39.80
Diameter (ESD),10.83,5.80,19.04,4.08,37.64
Elongation,2.42,1.00,7.22,1.74,71.79
Geodesic Aspect Ratio,0.62,0.14,1.00,0.35,55.80
Geodesic Length,16.02,6.49,28.60,8.29,51.77
Geodesic Thickness,7.67,3.96,14.82,2.92,38.09
Image Height,33.63,24.00,48.00,7.19,21.39
Image Width,33.71,23.00,50.00,8.36,24.80
Intensity,140.97,96.71,177.22,21.94,15.57
Length,11.96,6.35,20.57,4.34,36.28
Perimeter,47.36,25.95,77.67,17.64,37.24
Roughness,1.22,1.04,1.70,0.18,14.60
Sigma Intensity,38.41,16.83,51.18,8.98,23.38
Sum Intensity,57382.63,23796.00,1.67e+005,38481.71,67.06
Transparency,0.12,0.04,0.26,0.06,48.47
Volume (ABD),689.32,66.31,2964.90,808.95,117.36
Width,9.46,4.70,16.94,3.90,41.24

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,4.17,0.45,69,0.01
6-7um,5,20.83,3.42,347,0.05
7-8um,2,8.33,1.98,139,0.03
8-9um,4,16.67,6.19,278,0.10
0-5um,0,0.00,0.00,0.00,0.00
5-10um,13,54.17,13.72,902,0.22
10-15um,7,29.17,36.09,486,0.57
15-20um,4,16.67,50.18,278,0.80
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1,4.17,1.69,69,0.03
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

