sample_name,species,temp,rep,date_N_assay,date_N_extraction,raw_abs_entry,abs,nitrate,notes
05TT1,TT,5,1,05-Jan-17,,4,0.004,,
05TT2,TT,5,2,05-Jan-17,,8,0.008,,
05TT3,TT,5,3,05-Jan-17,,7,0.007,,
05TT4,TT,5,4,05-Jan-17,,18,0.018,,
05TT5,TT,5,5,05-Jan-17,,16,0.016,,
08TT1,TT,8,1,05-Jan-17,,-4,-0.004,,
08TT2,TT,8,2,05-Jan-17,,21,0.021,,
08TT3,TT,8,3,05-Jan-17,,7,0.007,,
08TT4,TT,8,4,05-Jan-17,,1,0.001,,
08TT5,TT,8,5,05-Jan-17,,1,0.001,,
ST1,ST,,,,,7,0.007,1,
ST5,ST,,,,,14,0.014,5,
ST10,ST,,,,,57,0.057,10,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
