sample_name,species,temp,rep,date_N_assay,date_N_extraction,raw_abs_entry,abs,nitrate,notes
05CH1,CH,5,1,04-Jan-16,,26,0.026,,
08CH1,CH,8,1,04-Jan-16,,16,0.016,,
16CH1,CH,16,1,04-Jan-16,,10,0.01,,
24CH1,CH,24,1,04-Jan-16,,14,0.014,,
32CH1,CH,32,1,04-Jan-16,,10,0.01,,
38CH1,CH,38,1,04-Jan-16,,56,0.056,,
05TT1,TT,5,1,04-Jan-16,,20,0.02,,
08TT1,TT,8,1,04-Jan-16,,10,0.01,,
16TT1,TT,16,1,04-Jan-16,,10,0.01,,
24TT1,TT,24,1,04-Jan-16,,12,0.012,,
32TT1,TT,32,1,04-Jan-16,,27,0.027,,
38TT1,TT,38,1,04-Jan-16,,38,0.038,,
05CH2,CH,5,2,04-Jan-16,,9,0.009,,
08CH2,CH,8,2,04-Jan-16,,10,0.01,,
16CH2,CH,16,2,04-Jan-16,,11,0.011,,
24CH2,CH,24,2,04-Jan-16,,4,0.004,,
32CH2,CH,32,2,04-Jan-16,,4,0.004,,
38CH2,CH,38,2,04-Jan-16,,57,0.057,,
05TT2,TT,5,2,04-Jan-16,,5,0.005,,
08TT2,TT,8,2,04-Jan-16,,28,0.028,,
16TT2,TT,16,2,04-Jan-16,,12,0.012,,
24TT2,TT,24,2,04-Jan-16,,17,0.017,,
32TT2,TT,32,2,04-Jan-16,,18,0.018,,
38TT2,TT,38,2,04-Jan-16,,45,0.045,,
05CH3,CH,5,3,04-Jan-16,,26,0.026,,
08CH3,CH,8,3,04-Jan-16,,8,0.008,,
16CH3,CH,16,3,04-Jan-16,,2,0.002,,
24CH3,CH,24,3,04-Jan-16,,7,0.007,,
32CH3,CH,32,3,04-Jan-16,,9,0.009,,
38CH3,CH,38,3,04-Jan-16,,59,0.059,,
05TT3,TT,5,3,04-Jan-16,,19,0.019,,
08TT3,TT,8,3,04-Jan-16,,-1,-0.001,,
16TT3,TT,16,3,04-Jan-16,,16,0.016,,
24TT3,TT,24,3,04-Jan-16,,10,0.01,,
32TT3,TT,32,3,04-Jan-16,,17,0.017,,
38TT3,TT,38,3,04-Jan-16,,64,0.064,,
05CH4,CH,5,4,04-Jan-16,,33,0.033,,
08CH4,CH,8,4,04-Jan-16,,7,0.007,,
16CH4,CH,16,4,04-Jan-16,,9,0.009,,
24CH4,CH,24,4,04-Jan-16,,15,0.015,,
32CH4,CH,32,4,04-Jan-16,,27,0.027,,
38CH4,CH,38,4,04-Jan-16,,72,0.072,,
05TT4,TT,5,4,04-Jan-16,,14,0.014,,
08TT4,TT,8,4,04-Jan-16,,25,0.025,,
16TT4,TT,16,4,04-Jan-16,,18,0.018,,
24TT4,TT,24,4,04-Jan-16,,17,0.017,,
32TT4,TT,32,4,04-Jan-16,,26,0.026,,
38TT4,TT,38,4,04-Jan-16,,63,0.063,,
05CH5,CH,5,5,04-Jan-16,,13,0.013,,
08CH5,CH,8,5,04-Jan-16,,19,0.019,,
16CH5,CH,16,5,04-Jan-16,,22,0.022,,
24CH5,CH,24,5,04-Jan-16,,5,0.005,,
32CH5,CH,32,5,04-Jan-16,,23,0.023,,
38CH5,CH,38,5,04-Jan-16,,43,0.043,,
05TT5,TT,5,5,04-Jan-16,,23,0.023,,
08TT5,TT,8,5,04-Jan-16,,16,0.016,,
16TT5,TT,16,5,04-Jan-16,,13,0.013,,
24TT5,TT,24,5,04-Jan-16,,31,0.031,,
32TT5,TT,32,5,04-Jan-16,,25,0.025,,
38TT5,TT,38,5,04-Jan-16,,47,0.047,,
ST0.5,ST,0.5,,04-Jan-16,,0,0,0.5,
ST1,ST,1,,04-Jan-16,,3,0.003,1,
ST5,ST,5,,04-Jan-16,,14.5,0.0145,5,
ST10,ST,10,,04-Jan-16,,55.5,0.0555,10,
ST20,ST,20,,04-Jan-16,,96.5,0.0965,20,
